,seed,gen,args_kphen,args_kmate,rbeta_hat_pgwas_ADHD.phenotype_ADHD.phenotype,rbeta_hat_pgwas_ADHD.phenotype_ALC.phenotype,rbeta_hat_pgwas_ADHD.phenotype_ANX.phenotype,rbeta_hat_pgwas_ADHD.phenotype_BIP.phenotype,rbeta_hat_pgwas_ADHD.phenotype_MDD.phenotype,rbeta_hat_pgwas_ADHD.phenotype_SCZ.phenotype,rbeta_hat_pgwas_ALC.phenotype_ANX.phenotype,rbeta_hat_pgwas_ALC.phenotype_BIP.phenotype,rbeta_hat_pgwas_ALC.phenotype_MDD.phenotype,rbeta_hat_pgwas_ALC.phenotype_SCZ.phenotype,rbeta_hat_pgwas_ANX.phenotype_BIP.phenotype,rbeta_hat_pgwas_ANX.phenotype_MDD.phenotype,rbeta_hat_pgwas_ANX.phenotype_SCZ.phenotype,rbeta_hat_pgwas_BIP.phenotype_MDD.phenotype,rbeta_hat_pgwas_BIP.phenotype_SCZ.phenotype,rbeta_hat_pgwas_MDD.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ADHD.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ALC.phenotype,rbeta_hat_sgwas_ADHD.phenotype_ANX.phenotype,rbeta_hat_sgwas_ADHD.phenotype_BIP.phenotype,rbeta_hat_sgwas_ADHD.phenotype_MDD.phenotype,rbeta_hat_sgwas_ADHD.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ALC.phenotype_ANX.phenotype,rbeta_hat_sgwas_ALC.phenotype_BIP.phenotype,rbeta_hat_sgwas_ALC.phenotype_MDD.phenotype,rbeta_hat_sgwas_ALC.phenotype_SCZ.phenotype,rbeta_hat_sgwas_ANX.phenotype_BIP.phenotype,rbeta_hat_sgwas_ANX.phenotype_MDD.phenotype,rbeta_hat_sgwas_ANX.phenotype_SCZ.phenotype,rbeta_hat_sgwas_BIP.phenotype_MDD.phenotype,rbeta_hat_sgwas_BIP.phenotype_SCZ.phenotype,rbeta_hat_sgwas_MDD.phenotype_SCZ.phenotype,pgwas_truepositives_ADHD_0.05,pgwas_falsepositives_ADHD_0.05,sgwas_truepositives_ADHD_0.05,sgwas_falsepositives_ADHD_0.05,pgwas_truepositives_ALC_0.05,pgwas_falsepositives_ALC_0.05,sgwas_truepositives_ALC_0.05,sgwas_falsepositives_ALC_0.05,pgwas_truepositives_ANX_0.05,pgwas_falsepositives_ANX_0.05,sgwas_truepositives_ANX_0.05,sgwas_falsepositives_ANX_0.05,pgwas_truepositives_BIP_0.05,pgwas_falsepositives_BIP_0.05,sgwas_truepositives_BIP_0.05,sgwas_falsepositives_BIP_0.05,pgwas_truepositives_MDD_0.05,pgwas_falsepositives_MDD_0.05,sgwas_truepositives_MDD_0.05,sgwas_falsepositives_MDD_0.05,pgwas_truepositives_SCZ_0.05,pgwas_falsepositives_SCZ_0.05,sgwas_truepositives_SCZ_0.05,sgwas_falsepositives_SCZ_0.05,pgwas_truepositives_ADHD_0.5,pgwas_falsepositives_ADHD_0.5,sgwas_truepositives_ADHD_0.5,sgwas_falsepositives_ADHD_0.5,pgwas_truepositives_ALC_0.5,pgwas_falsepositives_ALC_0.5,sgwas_truepositives_ALC_0.5,sgwas_falsepositives_ALC_0.5,pgwas_truepositives_ANX_0.5,pgwas_falsepositives_ANX_0.5,sgwas_truepositives_ANX_0.5,sgwas_falsepositives_ANX_0.5,pgwas_truepositives_BIP_0.5,pgwas_falsepositives_BIP_0.5,sgwas_truepositives_BIP_0.5,sgwas_falsepositives_BIP_0.5,pgwas_truepositives_MDD_0.5,pgwas_falsepositives_MDD_0.5,sgwas_truepositives_MDD_0.5,sgwas_falsepositives_MDD_0.5,pgwas_truepositives_SCZ_0.5,pgwas_falsepositives_SCZ_0.5,sgwas_truepositives_SCZ_0.5,sgwas_falsepositives_SCZ_0.5,tr1,tr2
psych2_seed1_2_0_4,1,2,6,2,,,,,0.05946236356863475,,,,,,,,,,,,,,,,0.026578438130319116,,,,,,,,,,,,0.6388059701492538,0.07747747747747748,0.5223880597014925,0.04384384384384384,,,,,,,,,,,,,0.40540540540540543,0.0617876424715057,0.26126126126126126,0.052789442111577684,,,,,0.8776119402985074,0.5291291291291291,0.835820895522388,0.5117117117117117,,,,,,,,,,,,,0.8198198198198198,0.5080983803239352,0.6906906906906907,0.5056988602279544,,,,,ADHD,MDD
psych2_seed1_3_0_4,1,3,6,2,,,,,0.06921521365230088,,,,,,,,,,,,,,,,0.04835942638198412,,,,,,,,,,,,0.7014925373134329,0.08708708708708708,0.49850746268656715,0.05045045045045045,,,,,,,,,,,,,0.4594594594594595,0.055188962207558485,0.3213213213213213,0.05038992201559688,,,,,0.9074626865671642,0.563963963963964,0.8686567164179104,0.4966966966966967,,,,,,,,,,,,,0.7957957957957958,0.5020995800839833,0.7687687687687688,0.47210557888422316,,,,,ADHD,MDD
psych2_seed1_4_0_4,1,4,6,2,,,,,0.08249790274080122,,,,,,,,,,,,,,,,-0.09792641094654242,,,,,,,,,,,,0.6955223880597015,0.08708708708708708,0.5044776119402985,0.05945945945945946,,,,,,,,,,,,,0.44744744744744747,0.04799040191961608,0.3033033033033033,0.05458908218356329,,,,,0.8746268656716418,0.5681681681681682,0.8477611940298507,0.5015015015015015,,,,,,,,,,,,,0.7957957957957958,0.519496100779844,0.7417417417417418,0.510497900419916,,,,,ADHD,MDD
psych2_seed1_5_0_4,1,5,6,2,,,,,0.08327869150937266,,,,,,,,,,,,,,,,0.004633545499064158,,,,,,,,,,,,0.6567164179104478,0.0936936936936937,0.49850746268656715,0.04744744744744745,,,,,,,,,,,,,0.4864864864864865,0.052789442111577684,0.3033033033033033,0.04859028194361128,,,,,0.9014925373134328,0.5537537537537538,0.7940298507462686,0.5123123123123123,,,,,,,,,,,,,0.8318318318318318,0.5146970605878824,0.7747747747747747,0.5098980203959208,,,,,ADHD,MDD
psych2_seed1_0_0_5,1,0,6,2,,,,,,-0.00884769187692755,,,,,,,,,,,,,,,,-0.04728312719348949,,,,,,,,,,,0.5880597014925373,0.04924924924924925,0.5850746268656717,0.04924924924924925,,,,,,,,,,,,,,,,,0.5945945945945946,0.05398920215956809,0.5735735735735735,0.047390521895620874,0.8716417910447761,0.5195195195195195,0.8567164179104477,0.4936936936936937,,,,,,,,,,,,,,,,,0.8288288288288288,0.47990401919616077,0.8348348348348348,0.5146970605878824,ADHD,SCZ
psych2_seed1_1_0_5,1,1,6,2,,,,,,0.02576188020290866,,,,,,,,,,,,,,,,0.013212355778666062,,,,,,,,,,,0.6179104477611941,0.06486486486486487,0.5402985074626866,0.05225225225225225,,,,,,,,,,,,,,,,,0.5645645645645646,0.06718656268746251,0.5045045045045045,0.052189562087582485,0.8537313432835821,0.5327327327327327,0.8626865671641791,0.4954954954954955,,,,,,,,,,,,,,,,,0.8228228228228228,0.5362927414517097,0.7957957957957958,0.48530293941211755,ADHD,SCZ
psych2_seed1_2_0_5,1,2,6,2,,,,,,0.06644965550947099,,,,,,,,,,,,,,,,-0.007319610318017852,,,,,,,,,,,0.6238805970149254,0.07567567567567568,0.5134328358208955,0.04744744744744745,,,,,,,,,,,,,,,,,0.5885885885885885,0.08098380323935213,0.5075075075075075,0.04859028194361128,0.8567164179104477,0.5405405405405406,0.817910447761194,0.4984984984984985,,,,,,,,,,,,,,,,,0.8708708708708709,0.5488902219556089,0.8018018018018018,0.4667066586682663,ADHD,SCZ
psych2_seed1_3_0_5,1,3,6,2,,,,,,0.10588222973927566,,,,,,,,,,,,,,,,-0.03234657821316339,,,,,,,,,,,0.6358208955223881,0.07747747747747748,0.5582089552238806,0.04684684684684685,,,,,,,,,,,,,,,,,0.6336336336336337,0.08698260347930414,0.5075075075075075,0.05098980203959208,0.8507462686567164,0.5351351351351351,0.8298507462686567,0.4804804804804805,,,,,,,,,,,,,,,,,0.8498498498498499,0.5320935812837433,0.8138138138138138,0.50749850029994,ADHD,SCZ
psych2_seed1_4_0_5,1,4,6,2,,,,,,0.14281772269072643,,,,,,,,,,,,,,,,0.020877205594766066,,,,,,,,,,,0.6835820895522388,0.08108108108108109,0.5283582089552239,0.05645645645645646,,,,,,,,,,,,,,,,,0.5975975975975976,0.07318536292741452,0.4954954954954955,0.057588482303539294,0.8925373134328358,0.5297297297297298,0.835820895522388,0.4912912912912913,,,,,,,,,,,,,,,,,0.8468468468468469,0.5614877024595081,0.8018018018018018,0.495500899820036,ADHD,SCZ
psych2_seed1_5_0_5,1,5,6,2,,,,,,0.12704774716251094,,,,,,,,,,,,,,,,-0.003941111655974136,,,,,,,,,,,0.6328358208955224,0.08108108108108109,0.5373134328358209,0.05405405405405406,,,,,,,,,,,,,,,,,0.6246246246246246,0.08698260347930414,0.5255255255255256,0.05098980203959208,0.8507462686567164,0.5495495495495496,0.8656716417910447,0.5141141141141141,,,,,,,,,,,,,,,,,0.8528528528528528,0.5410917816436712,0.8198198198198198,0.5002999400119976,ADHD,SCZ
