,seed,gen,xAM,rgHE_ADHD.phenotype_ADHD.phenotype,rgHE_ADHD.phenotype_ALC.phenotype,h2HE_ADHD.phenotype.proband_ADHD.phenotype.proband,h2HE_ALC.phenotype.proband_ALC.phenotype.proband,rgtrue_ADHD.addGen_ADHD.addGen,rgtrue_ADHD.addGen_ALC.addGen,gamma_ADHD.phenotype_ADHD.phenotype,gamma_ADHD.phenotype_ALC.phenotype,h2true_ADHD,h2true_ALC,prev_ADHD,prev_ALC,rgHE_ADHD.phenotype_ANX.phenotype,h2HE_ANX.phenotype.proband_ANX.phenotype.proband,rgtrue_ADHD.addGen_ANX.addGen,gamma_ADHD.phenotype_ANX.phenotype,h2true_ANX,prev_ANX,rgHE_ADHD.phenotype_BIP.phenotype,h2HE_BIP.phenotype.proband_BIP.phenotype.proband,rgtrue_ADHD.addGen_BIP.addGen,gamma_ADHD.phenotype_BIP.phenotype,h2true_BIP,prev_BIP,rgHE_ADHD.phenotype_MDD.phenotype,h2HE_MDD.phenotype.proband_MDD.phenotype.proband,rgtrue_ADHD.addGen_MDD.addGen,gamma_ADHD.phenotype_MDD.phenotype,h2true_MDD,prev_MDD,rgHE_ADHD.phenotype_SCZ.phenotype,h2HE_SCZ.phenotype.proband_SCZ.phenotype.proband,rgtrue_ADHD.addGen_SCZ.addGen,gamma_ADHD.phenotype_SCZ.phenotype,h2true_SCZ,prev_SCZ,rgHE_ALC.phenotype_ALC.phenotype,rgHE_ALC.phenotype_ANX.phenotype,rgtrue_ALC.addGen_ALC.addGen,rgtrue_ALC.addGen_ANX.addGen,gamma_ALC.phenotype_ALC.phenotype,gamma_ALC.phenotype_ANX.phenotype,rgHE_ALC.phenotype_BIP.phenotype,rgtrue_ALC.addGen_BIP.addGen,gamma_ALC.phenotype_BIP.phenotype,rgHE_ALC.phenotype_MDD.phenotype,rgtrue_ALC.addGen_MDD.addGen,gamma_ALC.phenotype_MDD.phenotype,rgHE_ALC.phenotype_SCZ.phenotype,rgtrue_ALC.addGen_SCZ.addGen,gamma_ALC.phenotype_SCZ.phenotype,rgHE_ANX.phenotype_ANX.phenotype,rgHE_ANX.phenotype_BIP.phenotype,rgtrue_ANX.addGen_ANX.addGen,rgtrue_ANX.addGen_BIP.addGen,gamma_ANX.phenotype_ANX.phenotype,gamma_ANX.phenotype_BIP.phenotype,rgHE_ANX.phenotype_MDD.phenotype,rgtrue_ANX.addGen_MDD.addGen,gamma_ANX.phenotype_MDD.phenotype,rgHE_ANX.phenotype_SCZ.phenotype,rgtrue_ANX.addGen_SCZ.addGen,gamma_ANX.phenotype_SCZ.phenotype,rgHE_BIP.phenotype_BIP.phenotype,rgHE_BIP.phenotype_MDD.phenotype,rgtrue_BIP.addGen_BIP.addGen,rgtrue_BIP.addGen_MDD.addGen,gamma_BIP.phenotype_BIP.phenotype,gamma_BIP.phenotype_MDD.phenotype,rgHE_BIP.phenotype_SCZ.phenotype,rgtrue_BIP.addGen_SCZ.addGen,gamma_BIP.phenotype_SCZ.phenotype,rgHE_MDD.phenotype_MDD.phenotype,rgHE_MDD.phenotype_SCZ.phenotype,rgtrue_MDD.addGen_MDD.addGen,rgtrue_MDD.addGen_SCZ.addGen,gamma_MDD.phenotype_MDD.phenotype,gamma_MDD.phenotype_SCZ.phenotype
28,1,4,2-variate,1.0,,0.8501235842704773,,0.9999999999999998,,1.0,,0.6725757421249025,,0.11175,,,,,,,,,,,,,,,,,,,,0.1431868745601123,0.7818097472190857,0.07059130844409475,0.7290561068786492,0.6502282910960715,0.045375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,5,2-variate,1.0,,0.8923037648200989,,1.0,,1.0,,0.6763663254268794,,0.113875,,,,,,,,,,,,,,,,,,,,0.13561469650175093,0.7857884764671326,0.07036934757079893,0.6905013427928293,0.6529018582935102,0.04625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,0,2-variate,,,,0.39123597741127014,,,,,,0.4059815789776454,,0.2905,,0.5800219774246216,,,0.5862754945831011,0.308875,,,,,,,,,,,,,,,,,,,1.0000000000000002,0.02966365399416821,0.9999999999999998,0.009431817159141776,1.0000000000000002,0.09010936053848093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,1,2-variate,,,,0.49047768115997314,,,,,,0.42964667657147,,0.292125,,0.6378598213195801,,,0.5749036018104605,0.317875,,,,,,,,,,,,,,,,,,,1.0000000000000002,0.06668359998720463,0.9999999999999998,0.026753546764096053,1.0000000000000002,0.2025648885403588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,2,2-variate,,,,0.4924617111682892,,,,,,0.4424167212668095,,0.2885,,0.7233820557594299,,,0.5943744932950453,0.321375,,,,,,,,,,,,,,,,,,,1.0,0.09077871049615742,0.9999999999999998,0.04565834449575178,1.0,0.2757588461396482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,3,2-variate,,,,0.5384490489959717,,,,,,0.45703348731956484,,0.291125,,0.7314152121543884,,,0.619284300986575,0.31975,,,,,,,,,,,,,,,,,,,1.0000000000000002,0.11341559479617426,0.9999999999999998,0.045906727565959475,1.0000000000000002,0.3445227133477253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,4,2-variate,,,,0.5122389793395996,,,,,,0.4375577511031182,,0.287125,,0.7737877368927002,,,0.6262520247713484,0.316875,,,,,,,,,,,,,,,,,,,0.9999999999999999,0.07981725063419262,1.0,0.028964652259614504,0.9999999999999999,0.2424609544449525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,5,2-variate,,,,0.5036909580230713,,,,,,0.4511570001360992,,0.28675,,0.7524713277816772,,,0.6171330280208578,0.326625,,,,,,,,,,,,,,,,,,,0.9999999999999999,0.07722778610704792,0.9999999999999998,0.05381777123010424,0.9999999999999999,0.23459504138829157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,0,2-variate,,,,0.39123597741127014,,,,,,0.4059815789776454,,0.2905,,,,,,,,0.48812153935432434,,,0.4778216017508064,0.024125,,,,,,,,,,,,,1.0000000000000002,,0.9999999999999998,,1.0000000000000002,,-0.020021932873955022,-0.007716426724617352,-0.0780577029752344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,1,2-variate,,,,0.4683830142021179,,,,,,0.44109817307794325,,0.28225,,,,,,,,0.5107787847518921,,,0.4927823268575143,0.023,,,,,,,,,,,,,1.0,,0.9999999999999998,,1.0,,-0.007731242246188879,0.010675437525924916,-0.030141078445889716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,2,2-variate,,,,0.5265835523605347,,,,,,0.4600913367075965,,0.281875,,,,,,,,0.5373350977897644,,,0.5042343001851485,0.02275,,,,,,,,,,,,,1.0000000000000002,,1.0,,1.0000000000000002,,0.05373589135886812,0.029971001045957377,0.20949537123714412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,3,2-variate,,,,0.5445712208747864,,,,,,0.44523449989976327,,0.292625,,,,,,,,0.5360150933265686,,,0.4986188814675444,0.02475,,,,,,,,,,,,,1.0,,0.9999999999999998,,1.0,,0.08654168893203563,0.044923848808844605,0.3373923181034104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,4,2-variate,,,,0.5293647050857544,,,,,,0.4497942569586432,,0.296375,,,,,,,,0.5410593152046204,,,0.5148487619782947,0.02425,,,,,,,,,,,,,0.9999999999999998,,1.0,,0.9999999999999999,,0.11477018771280403,0.052417678125407534,0.4474440724094366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,5,2-variate,,,,0.5347554087638855,,,,,,0.45614192081978944,,0.2965,,,,,,,,0.5423262119293213,,,0.5117572212549397,0.024875,,,,,,,,,,,,,0.9999999999999999,,0.9999999999999998,,0.9999999999999999,,0.13220741764584212,0.05890605918615588,0.5154250743039441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,0,2-variate,,,,0.39123597741127014,,,,,,0.4059815789776454,,0.2905,,,,,,,,,,,,,,0.23505713045597076,,,0.2343635399775391,0.148875,,,,,,,1.0000000000000002,,0.9999999999999998,,1.0000000000000002,,,,,0.026739531162379246,-0.005745839864508581,0.07802506056457076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,1,2-variate,,,,0.4565471112728119,,,,,,0.4276694601992675,,0.288,,,,,,,,,,,,,,0.22973337769508362,,,0.2366733614639516,0.140625,,,,,,,0.9999999999999999,,1.0,,0.9999999999999999,,,,,0.09771694549208038,0.020875423663538957,0.28513518496431856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,2,2-variate,,,,0.477700799703598,,,,,,0.4312582126338415,,0.287,,,,,,,,,,,,,,0.23711152374744415,,,0.234817184391077,0.143875,,,,,,,1.0,,0.9999999999999999,,1.0,,,,,0.14909190257686053,0.038721755450311784,0.4350456514074361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,3,2-variate,,,,0.49589744210243225,,,,,,0.44088004323207286,,0.298625,,,,,,,,,,,,,,0.2454889863729477,,,0.23777360566617306,0.14525,,,,,,,1.0000000000000002,,1.0,,1.0000000000000002,,,,,0.03425183636370938,0.031049804151281037,0.09994580445160954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,4,2-variate,,,,0.5199556350708008,,,,,,0.44738524333799035,,0.298875,,,,,,,,,,,,,,0.2653370201587677,,,0.24884098073548805,0.150375,,,,,,,1.0000000000000002,,1.0,,1.0000000000000002,,,,,0.05701528440932062,0.028198786098348045,0.1663690175905827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
