,1,0,2,3,4,5,gen,seed,6
4,997.0,520.0,399.0,70.0,13.0,1.0,4.0,22.0,0.0
5,976.0,538.0,385.0,90.0,10.0,1.0,5.0,22.0,0.0
0,1068.0,694.0,212.0,22.0,3.0,1.0,0.0,23.0,0.0
1,1002.0,611.0,335.0,48.0,4.0,0.0,1.0,23.0,0.0
2,1012.0,540.0,381.0,58.0,9.0,0.0,2.0,23.0,0.0
3,962.0,522.0,406.0,97.0,13.0,0.0,3.0,23.0,0.0
4,987.0,513.0,391.0,99.0,9.0,1.0,4.0,23.0,0.0
5,932.0,526.0,424.0,104.0,12.0,2.0,5.0,23.0,0.0
0,1052.0,673.0,251.0,22.0,2.0,0.0,0.0,24.0,0.0
1,1020.0,611.0,318.0,48.0,3.0,0.0,1.0,24.0,0.0
2,996.0,577.0,363.0,54.0,10.0,0.0,2.0,24.0,0.0
3,1018.0,569.0,354.0,53.0,6.0,0.0,3.0,24.0,0.0
4,981.0,560.0,374.0,72.0,13.0,0.0,4.0,24.0,0.0
5,889.0,574.0,427.0,97.0,13.0,0.0,5.0,24.0,0.0
0,1041.0,690.0,234.0,35.0,0.0,0.0,0.0,25.0,0.0
1,989.0,615.0,357.0,34.0,5.0,0.0,1.0,25.0,0.0
2,1000.0,584.0,354.0,62.0,0.0,0.0,2.0,25.0,0.0
3,995.0,560.0,381.0,58.0,6.0,0.0,3.0,25.0,0.0
4,1014.0,528.0,379.0,70.0,7.0,2.0,4.0,25.0,0.0
5,961.0,551.0,405.0,72.0,10.0,1.0,5.0,25.0,0.0
0,1024.0,687.0,259.0,28.0,2.0,0.0,0.0,26.0,0.0
1,1047.0,579.0,323.0,51.0,0.0,0.0,1.0,26.0,0.0
2,1003.0,573.0,367.0,48.0,9.0,0.0,2.0,26.0,0.0
3,981.0,522.0,393.0,93.0,10.0,1.0,3.0,26.0,0.0
4,941.0,508.0,442.0,88.0,20.0,1.0,4.0,26.0,0.0
5,965.0,496.0,415.0,106.0,17.0,1.0,5.0,26.0,0.0
0,1066.0,675.0,242.0,16.0,1.0,0.0,0.0,27.0,0.0
1,1024.0,581.0,343.0,48.0,3.0,1.0,1.0,27.0,0.0
2,1021.0,538.0,365.0,65.0,11.0,0.0,2.0,27.0,0.0
3,961.0,542.0,392.0,95.0,10.0,0.0,3.0,27.0,0.0
4,976.0,515.0,412.0,89.0,8.0,0.0,4.0,27.0,0.0
5,953.0,496.0,408.0,127.0,15.0,1.0,5.0,27.0,0.0
0,1040.0,689.0,255.0,16.0,0.0,0.0,0.0,28.0,0.0
1,1041.0,600.0,308.0,50.0,1.0,0.0,1.0,28.0,0.0
2,991.0,568.0,380.0,60.0,1.0,0.0,2.0,28.0,0.0
3,969.0,550.0,389.0,82.0,10.0,0.0,3.0,28.0,0.0
4,970.0,505.0,416.0,94.0,15.0,0.0,4.0,28.0,0.0
5,955.0,508.0,420.0,95.0,21.0,1.0,5.0,28.0,0.0
0,1061.0,665.0,252.0,19.0,3.0,0.0,0.0,29.0,0.0
1,1040.0,584.0,331.0,43.0,2.0,0.0,1.0,29.0,0.0
2,1015.0,570.0,346.0,58.0,11.0,0.0,2.0,29.0,0.0
3,984.0,548.0,396.0,69.0,3.0,0.0,3.0,29.0,0.0
4,972.0,556.0,374.0,88.0,10.0,0.0,4.0,29.0,0.0
5,950.0,522.0,408.0,107.0,12.0,1.0,5.0,29.0,0.0
0,1007.0,716.0,249.0,27.0,1.0,0.0,0.0,30.0,0.0
1,1051.0,571.0,335.0,39.0,4.0,0.0,1.0,30.0,0.0
2,1014.0,584.0,333.0,67.0,2.0,0.0,2.0,30.0,0.0
3,958.0,562.0,392.0,80.0,8.0,0.0,3.0,30.0,0.0
4,909.0,561.0,420.0,93.0,13.0,4.0,4.0,30.0,0.0
5,930.0,552.0,408.0,95.0,14.0,1.0,5.0,30.0,0.0
0,1024.0,715.0,238.0,21.0,2.0,0.0,0.0,31.0,0.0
1,980.0,643.0,321.0,49.0,6.0,1.0,1.0,31.0,0.0
2,1003.0,621.0,332.0,42.0,2.0,0.0,2.0,31.0,0.0
3,962.0,617.0,351.0,65.0,5.0,0.0,3.0,31.0,0.0
4,973.0,588.0,364.0,66.0,9.0,0.0,4.0,31.0,0.0
5,952.0,599.0,377.0,64.0,7.0,1.0,5.0,31.0,0.0
0,1050.0,660.0,264.0,25.0,1.0,0.0,0.0,32.0,0.0
1,1038.0,618.0,309.0,31.0,4.0,0.0,1.0,32.0,0.0
2,1011.0,578.0,357.0,49.0,5.0,0.0,2.0,32.0,0.0
3,1004.0,536.0,384.0,71.0,4.0,1.0,3.0,32.0,0.0
4,955.0,543.0,407.0,86.0,6.0,3.0,4.0,32.0,0.0
5,915.0,571.0,389.0,105.0,19.0,1.0,5.0,32.0,0.0
0,1037.0,685.0,256.0,21.0,1.0,0.0,0.0,33.0,0.0
1,1017.0,635.0,312.0,34.0,2.0,0.0,1.0,33.0,0.0
2,1015.0,619.0,320.0,42.0,4.0,0.0,2.0,33.0,0.0
3,976.0,589.0,366.0,61.0,7.0,1.0,3.0,33.0,0.0
4,988.0,570.0,378.0,58.0,6.0,0.0,4.0,33.0,0.0
5,965.0,551.0,395.0,77.0,10.0,2.0,5.0,33.0,0.0
0,1056.0,654.0,268.0,22.0,0.0,0.0,0.0,34.0,0.0
1,1008.0,596.0,348.0,43.0,5.0,0.0,1.0,34.0,0.0
2,1003.0,531.0,395.0,65.0,5.0,1.0,2.0,34.0,0.0
3,961.0,522.0,421.0,87.0,8.0,1.0,3.0,34.0,0.0
4,942.0,532.0,398.0,106.0,22.0,0.0,4.0,34.0,0.0
5,909.0,540.0,430.0,97.0,18.0,5.0,5.0,34.0,1.0
0,1019.0,698.0,257.0,25.0,1.0,0.0,0.0,35.0,0.0
1,991.0,623.0,327.0,54.0,4.0,1.0,1.0,35.0,0.0
2,1007.0,555.0,375.0,56.0,7.0,0.0,2.0,35.0,0.0
3,992.0,544.0,368.0,80.0,15.0,1.0,3.0,35.0,0.0
4,937.0,540.0,409.0,102.0,11.0,1.0,4.0,35.0,0.0
5,928.0,531.0,427.0,106.0,8.0,0.0,5.0,35.0,0.0
0,997.0,747.0,222.0,32.0,2.0,0.0,0.0,36.0,0.0
1,999.0,682.0,264.0,50.0,4.0,1.0,1.0,36.0,0.0
