"gen","scenario","seed","type","h2"
5,"RM",13,"True",0.250261198061667
0,"RM + VT (5%)",13,"True",0.253755818008837
1,"RM + VT (5%)",13,"True",0.242131853352705
2,"RM + VT (5%)",13,"True",0.236952723668179
3,"RM + VT (5%)",13,"True",0.234012156012522
4,"RM + VT (5%)",13,"True",0.236670416909325
5,"RM + VT (5%)",13,"True",0.23568774329149
0,"5xAM",13,"True",0.252864250803152
1,"5xAM",13,"True",0.257666230404387
2,"5xAM",13,"True",0.260781415924369
3,"5xAM",13,"True",0.264492576036129
4,"5xAM",13,"True",0.265209064874174
5,"5xAM",13,"True",0.265105470950707
0,"5xAM + VT (5%)",13,"True",0.253834715109156
1,"5xAM + VT (5%)",13,"True",0.228349564638137
2,"5xAM + VT (5%)",13,"True",0.221240606140967
3,"5xAM + VT (5%)",13,"True",0.21860334239105
4,"5xAM + VT (5%)",13,"True",0.219275532155262
5,"5xAM + VT (5%)",13,"True",0.220162333186942
0,"RM",14,"True",0.247566336306292
1,"RM",14,"True",0.247191276245953
2,"RM",14,"True",0.247039984821302
3,"RM",14,"True",0.246687442106277
4,"RM",14,"True",0.245687897348073
5,"RM",14,"True",0.247506088289234
0,"RM + VT (5%)",14,"True",0.247027157672362
1,"RM + VT (5%)",14,"True",0.236657961564931
2,"RM + VT (5%)",14,"True",0.231513380406082
3,"RM + VT (5%)",14,"True",0.228768179662197
4,"RM + VT (5%)",14,"True",0.23151243016173
5,"RM + VT (5%)",14,"True",0.230131483092936
0,"5xAM",14,"True",0.247023168117787
1,"5xAM",14,"True",0.251691558298035
2,"5xAM",14,"True",0.255075392601462
3,"5xAM",14,"True",0.257232661338602
4,"5xAM",14,"True",0.258241885124566
5,"5xAM",14,"True",0.26177836761493
0,"5xAM + VT (5%)",14,"True",0.247454860312474
1,"5xAM + VT (5%)",14,"True",0.222530065308313
2,"5xAM + VT (5%)",14,"True",0.216946765793625
3,"5xAM + VT (5%)",14,"True",0.214462118700167
4,"5xAM + VT (5%)",14,"True",0.213104597603804
5,"5xAM + VT (5%)",14,"True",0.213532076773439
0,"RM",15,"True",0.248615995148198
1,"RM",15,"True",0.24880791950917
2,"RM",15,"True",0.248536978048952
3,"RM",15,"True",0.250794253035046
4,"RM",15,"True",0.250878616009652
5,"RM",15,"True",0.245726855792871
0,"RM + VT (5%)",15,"True",0.248872550257553
1,"RM + VT (5%)",15,"True",0.237635816839416
2,"RM + VT (5%)",15,"True",0.233786065513282
3,"RM + VT (5%)",15,"True",0.233014548125137
4,"RM + VT (5%)",15,"True",0.233302726797068
5,"RM + VT (5%)",15,"True",0.231755145587353
0,"5xAM",15,"True",0.249109141118398
1,"5xAM",15,"True",0.253671751435969
2,"5xAM",15,"True",0.257957847322984
3,"5xAM",15,"True",0.259940726414457
4,"5xAM",15,"True",0.262412289155655
5,"5xAM",15,"True",0.261349966419524
0,"5xAM + VT (5%)",15,"True",0.248614861500808
1,"5xAM + VT (5%)",15,"True",0.223349372834956
2,"5xAM + VT (5%)",15,"True",0.216748312575677
3,"5xAM + VT (5%)",15,"True",0.215539215720557
4,"5xAM + VT (5%)",15,"True",0.217315067983089
5,"5xAM + VT (5%)",15,"True",0.217151663428868
0,"RM",16,"True",0.250429998281564
1,"RM",16,"True",0.251040497692848
2,"RM",16,"True",0.249538244174559
3,"RM",16,"True",0.250273469508797
4,"RM",16,"True",0.25312871629578
5,"RM",16,"True",0.252773094025103
0,"RM + VT (5%)",16,"True",0.250916021565402
1,"RM + VT (5%)",16,"True",0.23879258764391
2,"RM + VT (5%)",16,"True",0.235215317665006
3,"RM + VT (5%)",16,"True",0.234738820445664
4,"RM + VT (5%)",16,"True",0.234443624264748
5,"RM + VT (5%)",16,"True",0.233933690031607
0,"5xAM",16,"True",0.250428931826152
1,"5xAM",16,"True",0.256250239539346
2,"5xAM",16,"True",0.258943350021283
3,"5xAM",16,"True",0.262901384069628
4,"5xAM",16,"True",0.261317322226735
5,"5xAM",16,"True",0.264278746926206
0,"5xAM + VT (5%)",16,"True",0.251373174853
1,"5xAM + VT (5%)",16,"True",0.226052531488784
2,"5xAM + VT (5%)",16,"True",0.21833303004916
3,"5xAM + VT (5%)",16,"True",0.216771338125504
4,"5xAM + VT (5%)",16,"True",0.218544018709234
5,"5xAM + VT (5%)",16,"True",0.220248309068928
0,"RM",17,"True",0.24870551681235
1,"RM",17,"True",0.248683450589197
2,"RM",17,"True",0.24702206453467
3,"RM",17,"True",0.250776309939888
4,"RM",17,"True",0.248526954029971
5,"RM",17,"True",0.246427402933779
0,"RM + VT (5%)",17,"True",0.248685065217116
1,"RM + VT (5%)",17,"True",0.237699655678584
2,"RM + VT (5%)",17,"True",0.233114806921661
3,"RM + VT (5%)",17,"True",0.231789868877613
4,"RM + VT (5%)",17,"True",0.231771044127773
5,"RM + VT (5%)",17,"True",0.228487278957515
0,"5xAM",17,"True",0.248542580520839
1,"5xAM",17,"True",0.253279004634056
2,"5xAM",17,"True",0.256041312746593
3,"5xAM",17,"True",0.259945685879146
4,"5xAM",17,"True",0.25884304872115
5,"5xAM",17,"True",0.259257659412716
0,"5xAM + VT (5%)",17,"True",0.248850434857187
1,"5xAM + VT (5%)",17,"True",0.224275656951353
2,"5xAM + VT (5%)",17,"True",0.216619814274845
3,"5xAM + VT (5%)",17,"True",0.216497612324354
4,"5xAM + VT (5%)",17,"True",0.215811601495456
5,"5xAM + VT (5%)",17,"True",0.212559317239456
0,"RM",18,"True",0.246458800785851
1,"RM",18,"True",0.247545826012704
2,"RM",18,"True",0.247667961172826
3,"RM",18,"True",0.247120866540417
4,"RM",18,"True",0.244906649232352
5,"RM",18,"True",0.246959444036134
0,"RM + VT (5%)",18,"True",0.246680016629748
1,"RM + VT (5%)",18,"True",0.236073131818483
2,"RM + VT (5%)",18,"True",0.232083940074876
3,"RM + VT (5%)",18,"True",0.230312047421598
4,"RM + VT (5%)",18,"True",0.228770825058303
5,"RM + VT (5%)",18,"True",0.227250844264536
0,"5xAM",18,"True",0.246095955694003
1,"5xAM",18,"True",0.250708038274751
2,"5xAM",18,"True",0.253739078522221
3,"5xAM",18,"True",0.256629655533424
4,"5xAM",18,"True",0.258687602842908
5,"5xAM",18,"True",0.26208729851999
0,"5xAM + VT (5%)",18,"True",0.24667171192561
1,"5xAM + VT (5%)",18,"True",0.222809009289994
2,"5xAM + VT (5%)",18,"True",0.215562021363718
3,"5xAM + VT (5%)",18,"True",0.212757303456037
4,"5xAM + VT (5%)",18,"True",0.211808757601754
5,"5xAM + VT (5%)",18,"True",0.213437451942564
0,"RM",19,"True",0.252085448865544
1,"RM",19,"True",0.252304282116688
2,"RM",19,"True",0.252748794761414
3,"RM",19,"True",0.251069552109871
4,"RM",19,"True",0.253512002067222
5,"RM",19,"True",0.251702325188995
0,"RM + VT (5%)",19,"True",0.252276399784364
1,"RM + VT (5%)",19,"True",0.24072092427485
2,"RM + VT (5%)",19,"True",0.236812992794177
3,"RM + VT (5%)",19,"True",0.234213314357364
4,"RM + VT (5%)",19,"True",0.236112509402179
5,"RM + VT (5%)",19,"True",0.232530121892649
0,"5xAM",19,"True",0.252087190896799
1,"5xAM",19,"True",0.256571266081087
2,"5xAM",19,"True",0.25956973959759
3,"5xAM",19,"True",0.258984342360977
4,"5xAM",19,"True",0.263298264038244
5,"5xAM",19,"True",0.261253408688024
0,"5xAM + VT (5%)",19,"True",0.252199412830638
1,"5xAM + VT (5%)",19,"True",0.227154365463973
2,"5xAM + VT (5%)",19,"True",0.220879924629055
