"gen","scenario","power","GWAS","mean","se","se_1.96","median"
5,"5xAM + VT + GxE","50%","Sibship",1.00689377289377,0.00279630775907634,0.00548076320778962,1.00549450549451
0,"5xAM","66%","Sibship",1.00378947368421,0.0042818405077577,0.0083924073952051,1
1,"5xAM","66%","Sibship",1.00185645933014,0.00452464347798863,0.00886830121685772,1.00239234449761
2,"5xAM","66%","Sibship",1.0097033492823,0.00434686378573205,0.00851985302003482,1.00478468899522
3,"5xAM","66%","Sibship",0.995311004784689,0.00429897184245532,0.00842598481121242,0.997607655502392
4,"5xAM","66%","Sibship",1.00222009569378,0.00423594417905732,0.00830245059095235,0.997607655502392
5,"5xAM","66%","Sibship",1.00926315789474,0.00456323370472881,0.00894393806126847,1.00717703349282
0,"5xAM + GxE","66%","Sibship",0.996306220095694,0.00408423764059799,0.00800510577557206,0.995215311004784
1,"5xAM + GxE","66%","Sibship",1.00643062200957,0.00432445409253306,0.00847593002136479,1.00478468899522
2,"5xAM + GxE","66%","Sibship",1.00421052631579,0.004328023730175,0.008482926511143,1
3,"5xAM + GxE","66%","Sibship",1.00124401913876,0.00470251293757623,0.00921692535764941,1.00717703349282
4,"5xAM + GxE","66%","Sibship",0.997741626794258,0.00441917009838258,0.00866157339282986,1
5,"5xAM + GxE","66%","Sibship",1.00654545454545,0.0044488564651732,0.00871975867173946,1.00478468899522
0,"5xAM + VT","66%","Sibship",0.992593301435407,0.0041234849460638,0.00808203049428504,0.99043062200957
1,"5xAM + VT","66%","Sibship",1.00038277511962,0.00387313841813139,0.00759135129953752,0.995215311004784
2,"5xAM + VT","66%","Sibship",0.999904306220096,0.00445144955992863,0.00872484113746011,0.99043062200957
3,"5xAM + VT","66%","Sibship",1.00736842105263,0.00465306157632037,0.00912000068958792,1.00478468899522
4,"5xAM + VT","66%","Sibship",1.00103349282297,0.00406801235377415,0.00797330421339733,1.00478468899522
5,"5xAM + VT","66%","Sibship",1.00386602870813,0.00395397203368026,0.00774978518601331,1
0,"5xAM + VT + GxE","66%","Sibship",0.997301435406699,0.0045131730098861,0.00884581909937675,0.995215311004784
1,"5xAM + VT + GxE","66%","Sibship",1.008995215311,0.00463731847892226,0.00908914421868763,1.00717703349282
2,"5xAM + VT + GxE","66%","Sibship",1.00801913875598,0.0042639197119229,0.00835728263536888,1
3,"5xAM + VT + GxE","66%","Sibship",1.00340669856459,0.00448053319944917,0.00878184507092038,1
4,"5xAM + VT + GxE","66%","Sibship",1.00082296650718,0.00442903313671063,0.00868090494795283,1.00478468899522
5,"5xAM + VT + GxE","66%","Sibship",0.996363636363636,0.00416597238714413,0.0081653058788025,0.995215311004784
