"seed","gen","scenario","rmate","args_kphen","args_rmate","args_theta","args_phi","he_rg","rg_true","he_h2","h2_true"
100,3,"5xAM + VT",0.2,5,0.2,0.05,0,0.520532623644757,0.0650391628879305,0.724751436710358,0.374978665609101
100,4,"5xAM + VT",0.2,5,0.2,0.05,0,0.555746351185493,0.0712524701425667,0.746520853042603,0.364387803399176
100,5,"5xAM + VT",0.2,5,0.2,0.05,0,0.558961336130591,0.0738305749820787,0.755334317684174,0.35979586070889
100,0,"5xAM + VT",0.2,5,0.2,0.05,0,-0.00115381869852061,-0.000616051643131846,0.487626814842224,0.48887320309003
100,1,"5xAM + VT",0.2,5,0.2,0.05,0,0.314917409326088,0.0319430719754132,0.594320273399353,0.420411634031322
100,2,"5xAM + VT",0.2,5,0.2,0.05,0,0.4591888979524,0.0540016984409702,0.669354605674744,0.384584959485087
100,3,"5xAM + VT",0.2,5,0.2,0.05,0,0.524959675785422,0.0667550593912407,0.713493597507477,0.364870842616286
100,4,"5xAM + VT",0.2,5,0.2,0.05,0,0.559347230735911,0.0728353935724911,0.729451215267181,0.354761559602017
100,5,"5xAM + VT",0.2,5,0.2,0.05,0,0.561593735203111,0.0724806328178577,0.738936018943787,0.352697937442925
100,0,"5xAM + VT",0.2,5,0.2,0.05,0,0.00137232750282787,0.0010551775907931,0.502150732278824,0.502905774593663
100,1,"5xAM + VT",0.2,5,0.2,0.05,0,0.318607760782958,0.0347939347554858,0.610747969150543,0.430862979772488
100,2,"5xAM + VT",0.2,5,0.2,0.05,0,0.45506241442495,0.0548206223450277,0.684615504741669,0.391827205682213
100,3,"5xAM + VT",0.2,5,0.2,0.05,0,0.519348508150357,0.0651596861291045,0.726032245159149,0.374594567302763
100,4,"5xAM + VT",0.2,5,0.2,0.05,0,0.552518797331635,0.0693990271458803,0.756461358070374,0.366340661368099
100,5,"5xAM + VT",0.2,5,0.2,0.05,0,0.571239959966977,0.0760156285725891,0.771421205997467,0.359932471790204
100,0,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.000459452211256372,0.000496761527114104,0.507504791021347,0.506451021821029
100,1,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.324488696005521,0.0354820055984664,0.604315626621246,0.427178232520409
100,2,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.471230963953091,0.0550823865353307,0.677153408527374,0.38086399287809
100,3,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.530302034673794,0.0613445897224601,0.706927347183228,0.352263908102884
100,4,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.572527186868004,0.0675510339715389,0.720696473121643,0.32932405632576
100,5,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.581486966522998,0.0617500366652321,0.690738546848297,0.311018741592466
100,0,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.00225840165595905,0.000553481239494292,0.491267079114914,0.489185835469859
100,1,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.3200161404501,0.0328541695018433,0.589745140075684,0.415035062061812
100,2,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.464047853202353,0.05193398276657,0.654894077777863,0.370933022687425
100,3,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.530411205066271,0.0606062207067821,0.684080564975739,0.343327146940527
100,4,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.565359476771667,0.0613212992366677,0.686958110332489,0.320814110492502
100,5,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.591762498380174,0.0659607677532494,0.694565987586975,0.306895026181118
100,0,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.00190964542453865,-0.000577612850937127,0.502469611167908,0.502208740403169
100,1,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.323671199497182,0.0350496563312777,0.603736233711243,0.42525317411319
100,2,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.461082532014373,0.0519466453388658,0.671368837356567,0.378275117491651
100,3,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.532150554820312,0.0622007007803867,0.704017627239227,0.350487358378033
100,4,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.563230658445081,0.0647102075552721,0.715465795993805,0.331732753861957
100,5,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.566237329776742,0.0596642998347603,0.700830733776093,0.317146232588167
101,0,"5xAM",0.2,5,0.2,0,0,0.00154050149962774,0.0014642379497513,0.513301306962967,0.510834975820385
101,1,"5xAM",0.2,5,0.2,0,0,0.104252105775181,0.0489667707228699,0.558021569252014,0.524701148771184
101,2,"5xAM",0.2,5,0.2,0,0,0.185148665514844,0.0824698377534579,0.599868500232697,0.535140141015275
101,3,"5xAM",0.2,5,0.2,0,0,0.229392176768706,0.104604400987583,0.635849118232727,0.541087501907831
101,4,"5xAM",0.2,5,0.2,0,0,0.276876005304322,0.122759880180216,0.66348934173584,0.547855915091243
101,5,"5xAM",0.2,5,0.2,0,0,0.302729764877699,0.136212559757519,0.68320769071579,0.545235034278493
101,0,"5xAM",0.2,5,0.2,0,0,-0.000949824560593146,0.000298866265904273,0.494926661252975,0.495639080097685
101,1,"5xAM",0.2,5,0.2,0,0,0.100716654359688,0.0483452655549995,0.536975800991058,0.506427913349047
101,2,"5xAM",0.2,5,0.2,0,0,0.177596361157498,0.0804432561395406,0.581893801689148,0.516461242275769
101,3,"5xAM",0.2,5,0.2,0,0,0.23038010100796,0.105293349217458,0.616958022117615,0.519914442665823
101,4,"5xAM",0.2,5,0.2,0,0,0.260342762466664,0.119144103147102,0.631238567829132,0.526317015720719
101,5,"5xAM",0.2,5,0.2,0,0,0.29336794732859,0.128928354355118,0.633663725852966,0.523801465040391
101,0,"5xAM",0.2,5,0.2,0,0,-0.000637463062785237,0.000371521356563348,0.491962313652039,0.489192479416687
101,1,"5xAM",0.2,5,0.2,0,0,0.0951998621737507,0.0465261087078234,0.528590738773346,0.499322909376548
101,2,"5xAM",0.2,5,0.2,0,0,0.171906082410001,0.0795099184451767,0.560389339923859,0.50743533095194
101,3,"5xAM",0.2,5,0.2,0,0,0.213924730524521,0.0970117804315854,0.591127955913544,0.51496078315832
