"seed","gen","xAM","dx","value"
21,5,"2-variate","ADHD",0.100475
22,5,"2-variate","ADHD",0.118325
23,5,"2-variate","ADHD",0.1308
24,5,"2-variate","ADHD",0.123725
25,5,"2-variate","ADHD",0.09515
26,5,"2-variate","ADHD",0.13745
27,5,"2-variate","ADHD",0.132725
28,5,"2-variate","ADHD",0.11285
29,5,"2-variate","ADHD",0.1055
30,5,"2-variate","ADHD",0.11585
31,5,"2-variate","ADHD",0.124575
32,5,"2-variate","ADHD",0.104775
33,5,"2-variate","ADHD",0.12035
34,5,"2-variate","ADHD",0.12005
35,5,"2-variate","ADHD",0.1239
36,5,"2-variate","ADHD",0.104175
37,5,"2-variate","ADHD",0.115225
38,5,"2-variate","ADHD",0.133825
39,5,"2-variate","ADHD",0.114825
40,5,"2-variate","ADHD",0.1132
41,5,"2-variate","ADHD",0.119575
42,5,"2-variate","ADHD",0.09645
43,5,"2-variate","ADHD",0.11905
44,5,"2-variate","ADHD",0.115525
45,5,"2-variate","ADHD",0.095725
46,5,"2-variate","ADHD",0.1082
47,5,"2-variate","ADHD",0.13675
48,5,"2-variate","ADHD",0.124075
49,5,"2-variate","ADHD",0.147875
1,0,"6-variate","ADHD",0.097125
2,0,"6-variate","ADHD",0.074375
3,0,"6-variate","ADHD",0.0865
4,0,"6-variate","ADHD",0.088
5,0,"6-variate","ADHD",0.087125
6,0,"6-variate","ADHD",0.078375
7,0,"6-variate","ADHD",0.0905
8,0,"6-variate","ADHD",0.093625
9,0,"6-variate","ADHD",0.09775
10,0,"6-variate","ADHD",0.086625
11,0,"6-variate","ADHD",0.08075
12,0,"6-variate","ADHD",0.091
13,0,"6-variate","ADHD",0.089375
14,0,"6-variate","ADHD",0.08525
15,0,"6-variate","ADHD",0.09275
16,0,"6-variate","ADHD",0.08625
17,0,"6-variate","ADHD",0.08075
18,0,"6-variate","ADHD",0.093375
19,0,"6-variate","ADHD",0.08825
20,0,"6-variate","ADHD",0.090375
21,0,"6-variate","ADHD",0.072
22,0,"6-variate","ADHD",0.088375
23,0,"6-variate","ADHD",0.093125
24,0,"6-variate","ADHD",0.08475
25,0,"6-variate","ADHD",0.0845
26,0,"6-variate","ADHD",0.102125
27,0,"6-variate","ADHD",0.089375
28,0,"6-variate","ADHD",0.084875
29,0,"6-variate","ADHD",0.086875
30,0,"6-variate","ADHD",0.091125
31,0,"6-variate","ADHD",0.09075
32,0,"6-variate","ADHD",0.079125
33,0,"6-variate","ADHD",0.096625
34,0,"6-variate","ADHD",0.090625
35,0,"6-variate","ADHD",0.08925
36,0,"6-variate","ADHD",0.079875
37,0,"6-variate","ADHD",0.08925
38,0,"6-variate","ADHD",0.096
39,0,"6-variate","ADHD",0.08525
40,0,"6-variate","ADHD",0.089625
41,0,"6-variate","ADHD",0.08675
42,0,"6-variate","ADHD",0.08075
