"gen","xAM","outcome","pheno_1","pheno_2","value","se","Outcome","Generation"
0,"2-variate","rgtrue","ANX","MDD",-0.00395390918639951,0.0124468421655297,"italic(r)[score]","0~gen.~xAM"
1,"2-variate","rgtrue","ANX","MDD",0.0359909932214812,0.0121395645417765,"italic(r)[score]","1~gen.~xAM"
3,"2-variate","rgtrue","ANX","MDD",0.0703648546813045,0.0146922096907728,"italic(r)[score]","3~gen.~xAM"
5,"2-variate","rgtrue","ANX","MDD",0.0868574392375505,0.0158429365195651,"italic(r)[score]","5~gen.~xAM"
0,"2-variate","rgHE","BIP","MDD",0.00539447551537172,0.0300768419883669,"hat(italic(r))[HE]","0~gen.~xAM"
1,"2-variate","rgHE","BIP","MDD",0.0494203486572055,0.0337743295542681,"hat(italic(r))[HE]","1~gen.~xAM"
3,"2-variate","rgHE","BIP","MDD",0.0673446103007093,0.0302180225392972,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","BIP","MDD",0.0871855413158184,0.037786072786283,"hat(italic(r))[HE]","5~gen.~xAM"
0,"2-variate","rgtrue","BIP","MDD",-0.000281965165485848,0.0123918016760507,"italic(r)[score]","0~gen.~xAM"
1,"2-variate","rgtrue","BIP","MDD",0.0214274560291788,0.0120891318038772,"italic(r)[score]","1~gen.~xAM"
3,"2-variate","rgtrue","BIP","MDD",0.0339266721974193,0.012416693811211,"italic(r)[score]","3~gen.~xAM"
5,"2-variate","rgtrue","BIP","MDD",0.0414451759984867,0.0138235689305866,"italic(r)[score]","5~gen.~xAM"
0,"2-variate","rgHE","ADHD","SCZ",-0.00271939670043951,0.0287437090383596,"hat(italic(r))[HE]","0~gen.~xAM"
1,"2-variate","rgHE","ADHD","SCZ",0.0737640272976716,0.0316484758443933,"hat(italic(r))[HE]","1~gen.~xAM"
3,"2-variate","rgHE","ADHD","SCZ",0.12334511091155,0.0449879608815475,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","ADHD","SCZ",0.153222565047945,0.0491358115923242,"hat(italic(r))[HE]","5~gen.~xAM"
0,"2-variate","rgtrue","ADHD","SCZ",-0.00147476379103445,0.012282615227038,"italic(r)[score]","0~gen.~xAM"
1,"2-variate","rgtrue","ADHD","SCZ",0.034824030180477,0.0147719638954223,"italic(r)[score]","1~gen.~xAM"
3,"2-variate","rgtrue","ADHD","SCZ",0.0620663342758238,0.0197686566305711,"italic(r)[score]","3~gen.~xAM"
5,"2-variate","rgtrue","ADHD","SCZ",0.0792958766415361,0.0237020227764992,"italic(r)[score]","5~gen.~xAM"
0,"2-variate","rgHE","ALC","SCZ",-0.00452617543093323,0.0271210258811487,"hat(italic(r))[HE]","0~gen.~xAM"
1,"2-variate","rgHE","ALC","SCZ",0.0695226252664265,0.0309636478449852,"hat(italic(r))[HE]","1~gen.~xAM"
3,"2-variate","rgHE","ALC","SCZ",0.143172812174675,0.0277575250366271,"hat(italic(r))[HE]","3~gen.~xAM"
5,"2-variate","rgHE","ALC","SCZ",0.178321828444895,0.0314285705715146,"hat(italic(r))[HE]","5~gen.~xAM"
0,"2-variate","rgtrue","ALC","SCZ",-0.00342929870490331,0.0122261103094815,"italic(r)[score]","0~gen.~xAM"
1,"2-variate","rgtrue","ALC","SCZ",0.0335571942802777,0.0127066960103207,"italic(r)[score]","1~gen.~xAM"
