"gen","seed","scenario","variable","var_label","value","intercept"
3,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.508591240556053,0
4,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.547249216369473,0
5,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.537813496473685,0
0,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.000185377271498617,0
1,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.31832595411006,0
2,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.45518543809846,0
3,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.514285113363485,0
4,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.536486437979235,0
5,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.552059688815802,0
0,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.00464456641939178,0
1,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.320258287374706,0
2,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.457317891768989,0
3,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.512705050071685,0
4,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.540927270358075,0
5,10,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.553344356552826,0
0,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.00134397477344957,0
1,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.327136961640881,0
2,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.469197534701477,0
3,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.537860051600031,0
4,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.570982284831417,0
5,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.591627316053768,0
0,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",-0.000137456114338469,0
1,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.316649478317777,0
2,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.458795928161121,0
3,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.532045021145242,0
4,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.571113681902796,0
5,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.583354786426135,0
0,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.0015577950563134,0
1,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.325405285674632,0
2,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.47261514588738,0
3,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.533896582005275,0
4,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.553899647253408,0
5,10,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.581031608368426,0
0,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",-0.000732954704215475,0
1,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.10099579359779,0
2,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.178123890515557,0
3,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.231280769080761,0
4,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.282935259089369,0
5,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.328145987863102,0
0,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",-0.000680487193975629,0
1,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.103250662391083,0
2,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.172264284362438,0
3,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.229232994074516,0
4,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.271867777361846,0
5,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.282014860427465,0
0,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",-0.0013307485138566,0
1,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.102453921228328,0
2,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.17608026934572,0
3,100,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.231985332338041,0
