"gen","seed","scenario","power","GWAS","relative_T1R"
4,101,"5xAM + VT + GxE","39%","Sibship",1.04737384140062
5,101,"5xAM + VT + GxE","39%","Sibship",1.02883625128733
0,102,"5xAM","66%","Sibship",1.07177033492823
1,102,"5xAM","66%","Sibship",0.952153110047846
2,102,"5xAM","66%","Sibship",1.07177033492823
3,102,"5xAM","66%","Sibship",1
4,102,"5xAM","66%","Sibship",1.07177033492823
5,102,"5xAM","66%","Sibship",1.12918660287081
0,102,"5xAM","50%","Sibship",1.003663003663
1,102,"5xAM","50%","Sibship",0.978021978021978
2,102,"5xAM","50%","Sibship",0.989010989010988
3,102,"5xAM","50%","Sibship",0.99084249084249
4,102,"5xAM","50%","Sibship",1.03296703296703
5,102,"5xAM","50%","Sibship",1.06043956043956
0,102,"5xAM","39%","Sibship",0.995880535530382
1,102,"5xAM","39%","Sibship",1.05458290422245
2,102,"5xAM","39%","Sibship",1.05149330587024
3,102,"5xAM","39%","Sibship",0.989701338825952
4,102,"5xAM","39%","Sibship",1.05355303810505
5,102,"5xAM","39%","Sibship",0.977342945417096
0,102,"5xAM + GxE","66%","Sibship",0.976076555023924
1,102,"5xAM + GxE","66%","Sibship",1.1244019138756
2,102,"5xAM + GxE","66%","Sibship",1.0622009569378
3,102,"5xAM + GxE","66%","Sibship",1.08133971291866
4,102,"5xAM + GxE","66%","Sibship",0.966507177033492
5,102,"5xAM + GxE","66%","Sibship",1.05741626794258
0,102,"5xAM + GxE","50%","Sibship",1.06959706959707
1,102,"5xAM + GxE","50%","Sibship",0.983516483516484
2,102,"5xAM + GxE","50%","Sibship",0.99084249084249
3,102,"5xAM + GxE","50%","Sibship",1.03479853479853
4,102,"5xAM + GxE","50%","Sibship",1.02930402930403
5,102,"5xAM + GxE","50%","Sibship",1.01831501831502
0,102,"5xAM + GxE","39%","Sibship",0.964984552008238
1,102,"5xAM + GxE","39%","Sibship",0.984552008238928
2,102,"5xAM + GxE","39%","Sibship",0.98043254376931
3,102,"5xAM + GxE","39%","Sibship",0.987641606591144
4,102,"5xAM + GxE","39%","Sibship",1.03913491246138
5,102,"5xAM + GxE","39%","Sibship",1.03089598352214
0,102,"5xAM + VT","66%","Sibship",1.03349282296651
1,102,"5xAM + VT","66%","Sibship",0.861244019138756
2,102,"5xAM + VT","66%","Sibship",1.0622009569378
3,102,"5xAM + VT","66%","Sibship",1.02392344497608
4,102,"5xAM + VT","66%","Sibship",0.995215311004784
5,102,"5xAM + VT","66%","Sibship",1.03827751196172
0,102,"5xAM + VT","50%","Sibship",1.03479853479853
1,102,"5xAM + VT","50%","Sibship",1.01648351648352
2,102,"5xAM + VT","50%","Sibship",0.956043956043956
3,102,"5xAM + VT","50%","Sibship",0.965201465201466
4,102,"5xAM + VT","50%","Sibship",1.04945054945055
5,102,"5xAM + VT","50%","Sibship",1.01098901098901
0,102,"5xAM + VT","39%","Sibship",1.03295571575695
1,102,"5xAM + VT","39%","Sibship",1.05458290422245
2,102,"5xAM + VT","39%","Sibship",1.05664263645726
3,102,"5xAM + VT","39%","Sibship",1.04634397528321
4,102,"5xAM + VT","39%","Sibship",0.971163748712668
5,102,"5xAM + VT","39%","Sibship",0.956745623069002
0,102,"5xAM + VT + GxE","66%","Sibship",0.880382775119618
1,102,"5xAM + VT + GxE","66%","Sibship",0.923444976076556
2,102,"5xAM + VT + GxE","66%","Sibship",1.04784688995215
3,102,"5xAM + VT + GxE","66%","Sibship",1.0622009569378
4,102,"5xAM + VT + GxE","66%","Sibship",0.923444976076556
5,102,"5xAM + VT + GxE","66%","Sibship",1
0,102,"5xAM + VT + GxE","50%","Sibship",0.989010989010988
1,102,"5xAM + VT + GxE","50%","Sibship",1.01831501831502
2,102,"5xAM + VT + GxE","50%","Sibship",1.03296703296703
3,102,"5xAM + VT + GxE","50%","Sibship",0.996336996336996
4,102,"5xAM + VT + GxE","50%","Sibship",0.91941391941392
5,102,"5xAM + VT + GxE","50%","Sibship",1
0,102,"5xAM + VT + GxE","39%","Sibship",0.975283213182286
1,102,"5xAM + VT + GxE","39%","Sibship",1.03604531410917
2,102,"5xAM + VT + GxE","39%","Sibship",1.01235839340886
3,102,"5xAM + VT + GxE","39%","Sibship",1.02986611740474
4,102,"5xAM + VT + GxE","39%","Sibship",0.961894953656024
5,102,"5xAM + VT + GxE","39%","Sibship",1.01235839340886
0,103,"5xAM","66%","Sibship",0.980861244019138
1,103,"5xAM","66%","Sibship",1.04784688995215
2,103,"5xAM","66%","Sibship",1.05263157894737
3,103,"5xAM","66%","Sibship",1.16746411483254
4,103,"5xAM","66%","Sibship",1.05741626794258
5,103,"5xAM","66%","Sibship",0.899521531100478
0,103,"5xAM","50%","Sibship",1.00915750915751
1,103,"5xAM","50%","Sibship",0.897435897435898
2,103,"5xAM","50%","Sibship",1.05860805860806
3,103,"5xAM","50%","Sibship",0.981684981684982
4,103,"5xAM","50%","Sibship",0.972527472527472
5,103,"5xAM","50%","Sibship",0.985347985347986
0,103,"5xAM","39%","Sibship",0.981462409886714
1,103,"5xAM","39%","Sibship",0.964984552008238
2,103,"5xAM","39%","Sibship",0.985581874356334
3,103,"5xAM","39%","Sibship",0.992790937178166
4,103,"5xAM","39%","Sibship",1.01647785787848
5,103,"5xAM","39%","Sibship",1.03810504634398
0,103,"5xAM + GxE","66%","Sibship",1.08133971291866
1,103,"5xAM + GxE","66%","Sibship",0.971291866028708
2,103,"5xAM + GxE","66%","Sibship",0.995215311004784
3,103,"5xAM + GxE","66%","Sibship",1.30622009569378
4,103,"5xAM + GxE","66%","Sibship",0.880382775119618
5,103,"5xAM + GxE","66%","Sibship",0.933014354066986
0,103,"5xAM + GxE","50%","Sibship",0.976190476190476
1,103,"5xAM + GxE","50%","Sibship",1.00549450549451
2,103,"5xAM + GxE","50%","Sibship",1.003663003663
3,103,"5xAM + GxE","50%","Sibship",1.01465201465201
4,103,"5xAM + GxE","50%","Sibship",1.04395604395604
5,103,"5xAM + GxE","50%","Sibship",0.998168498168498
0,103,"5xAM + GxE","39%","Sibship",1.02883625128733
1,103,"5xAM + GxE","39%","Sibship",1.01235839340886
2,103,"5xAM + GxE","39%","Sibship",1.05355303810505
3,103,"5xAM + GxE","39%","Sibship",0.994850669412976
4,103,"5xAM + GxE","39%","Sibship",1.00308959835221
5,103,"5xAM + GxE","39%","Sibship",0.976313079299692
0,103,"5xAM + VT","66%","Sibship",1.04306220095694
1,103,"5xAM + VT","66%","Sibship",0.947368421052632
2,103,"5xAM + VT","66%","Sibship",1
3,103,"5xAM + VT","66%","Sibship",0.980861244019138
4,103,"5xAM + VT","66%","Sibship",0.842105263157894
5,103,"5xAM + VT","66%","Sibship",0.91866028708134
0,103,"5xAM + VT","50%","Sibship",0.994505494505494
1,103,"5xAM + VT","50%","Sibship",1.003663003663
2,103,"5xAM + VT","50%","Sibship",1.04395604395604
3,103,"5xAM + VT","50%","Sibship",1.003663003663
4,103,"5xAM + VT","50%","Sibship",0.985347985347986
5,103,"5xAM + VT","50%","Sibship",0.972527472527472
0,103,"5xAM + VT","39%","Sibship",0.990731204943358
1,103,"5xAM + VT","39%","Sibship",1.01132852729145
2,103,"5xAM + VT","39%","Sibship",0.964984552008238
3,103,"5xAM + VT","39%","Sibship",0.990731204943358
4,103,"5xAM + VT","39%","Sibship",0.993820803295572
5,103,"5xAM + VT","39%","Sibship",1.01750772399588
0,103,"5xAM + VT + GxE","66%","Sibship",1.03827751196172
1,103,"5xAM + VT + GxE","66%","Sibship",0.966507177033492
2,103,"5xAM + VT + GxE","66%","Sibship",0.92822966507177
