"seed","gen","scenario_label","latent_r","args_kphen","args_kmate","args_rmate","he_rg","rg_true","he_h2","h2_true"
106,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0914499868330623,0.0415886896144994,0.557208895683289,0.509907380780549
106,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,-0.00114595070201125,-4.70238333062141e-05,0.505432534217835,0.503981911006968
106,1,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0516094602242395,0.0245091561618639,0.525505399703979,0.508945092121873
106,2,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0868381133199192,0.0404656567220489,0.535056841373444,0.512377695832209
106,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.100262201073888,0.047992695388719,0.547906529903412,0.515471603433938
106,4,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.130483149164029,0.0572414352571166,0.555133783817291,0.520682375902454
106,5,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.128236633194069,0.0573551279816821,0.562874352931976,0.516783760625534
107,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,-0.00538616300138847,-0.00157403402443417,0.496447145938873,0.49717982947256
107,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0317408762344356,0.0197313259998763,0.516751378774643,0.502249598901904
107,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.062125246260214,0.0334609677725423,0.522917836904526,0.505549446775663
107,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0894575126293599,0.039802503284651,0.538069427013397,0.507431265696004
107,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0969207165877228,0.0536539029036757,0.538964837789536,0.508001554310611
107,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0863130233831445,0.0516667226919498,0.522662073373795,0.512292360005828
107,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.000852514031579588,-0.000474301515267058,0.496521818637848,0.497428761708848
107,1,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0498159128972848,0.0240985636373985,0.519347310066223,0.503034696289725
107,2,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0797584701577795,0.0378907650669941,0.52809089422226,0.503957129288417
107,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.105895703072378,0.0489576831122619,0.536519694328308,0.506837016587922
107,4,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.115968685920825,0.0537997650928499,0.537515664100647,0.50841493690211
107,5,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.11719332820282,0.05551591459358,0.542412650585175,0.502379591500397
108,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,-0.00132455456355265,0.00196990924795244,0.494469836354256,0.497656571169672
108,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0445647602402905,0.0241789567485905,0.514662712812424,0.505255505224185
108,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0632679207975507,0.0354803453301856,0.528757989406586,0.505574782660284
108,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0904105682320302,0.0414506604402787,0.526332795619965,0.506627723227781
108,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0723872204083861,0.0421090864404345,0.530269920825958,0.506332293863597
108,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.101335536624942,0.0449876744410443,0.549353390932083,0.511436275845099
108,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,-0.00247711351654036,-0.00139931696345264,0.495421427488327,0.497195147869224
108,1,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0469682990671027,0.0231072821047945,0.517753964662552,0.501851485658796
108,2,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.080016202758404,0.0376217191390529,0.530415380001068,0.508425832932238
108,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0979530775205826,0.045348981547551,0.536729526519775,0.507911709958317
108,4,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.112081724937662,0.0484731707538138,0.547136437892914,0.510983224702425
108,5,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.114592946531885,0.0588180228145291,0.559204518795013,0.509604287444681
109,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.000660819872887175,0.000415963551614175,0.497686460614204,0.497323838406704
109,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0483997263799664,0.0238728952988066,0.513906449079514,0.501518323746477
109,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0662187914401233,0.0335010289208237,0.524321854114532,0.504443121427457
109,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0958367149664859,0.0446860417672102,0.527437657117844,0.505416272188959
109,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0867351184580292,0.0361951658845216,0.531144261360168,0.514069630124442
109,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0974008881692728,0.0396453398820686,0.536073505878448,0.521224466045149
109,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.00257710365732092,0.000189558145871035,0.496030509471893,0.496792268838504
109,1,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0493898699033445,0.0240517651135194,0.516084796190262,0.501523669528413
109,2,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0816767598871666,0.0387963303885965,0.528169012069702,0.504435847694633
109,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.107782031739832,0.0487428183723364,0.540559911727905,0.512432684519846
109,4,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.12456279676333,0.0556865718354683,0.549223136901855,0.51104484323895
109,5,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.107857145098977,0.0521302376155748,0.535498416423798,0.514384794436159
11,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,-0.000843239460087083,-0.000363730149035894,0.50122657418251,0.500723469954291
11,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0458223859024411,0.0208981555959078,0.523068487644196,0.509052076821144
11,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0787550764177926,0.0360004050347969,0.530852466821671,0.511255184372103
11,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0924677332426575,0.0428641913406166,0.540674924850464,0.510413633345256
11,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0770968627981426,0.0531847673887485,0.526317954063416,0.517831600535835
11,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0980845328273422,0.043434217826782,0.52731129527092,0.516048301189644
11,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.00143325400969295,0.000528403453097423,0.501112711429596,0.501442658334088
