"seed","gen","variable","value","type","traits"
21,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03925083595014,"rgHE","edu / height"
21,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.35147629139255,"rgHE","edu / height"
22,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.0191459614130951,"rgHE","edu / height"
22,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.997427026073939,"rgHE","edu / height"
22,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.989469524110555,"rgHE","edu / height"
22,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.971215779918837,"rgHE","edu / height"
22,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.992928782887173,"rgHE","edu / height"
22,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.947118283859005,"rgHE","edu / height"
23,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.167568122358787,"rgHE","edu / height"
23,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01207136436924,"rgHE","edu / height"
23,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.968325186787283,"rgHE","edu / height"
23,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.937354773963895,"rgHE","edu / height"
23,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.971990448901505,"rgHE","edu / height"
23,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.92379582783265,"rgHE","edu / height"
24,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.144737707142157,"rgHE","edu / height"
24,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00261900190188,"rgHE","edu / height"
24,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00531054804421,"rgHE","edu / height"
24,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.986602387581628,"rgHE","edu / height"
24,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.975293958732842,"rgHE","edu / height"
24,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.958243739521924,"rgHE","edu / height"
25,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.00120433561398902,"rgHE","edu / height"
25,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.947694587526166,"rgHE","edu / height"
25,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.0241173927452,"rgHE","edu / height"
25,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.971830621917583,"rgHE","edu / height"
25,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.923328245895245,"rgHE","edu / height"
25,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.07098593854116,"rgHE","edu / height"
26,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.0660883393291849,"rgHE","edu / height"
26,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.988461477831324,"rgHE","edu / height"
26,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.985700855563862,"rgHE","edu / height"
26,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.04290888772013,"rgHE","edu / height"
26,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00183586829249,"rgHE","edu / height"
26,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.869749822189317,"rgHE","edu / height"
27,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.13318625247454,"rgHE","edu / height"
27,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.959876049545783,"rgHE","edu / height"
27,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.979435448538999,"rgHE","edu / height"
