"gen","scenario","seed","type","rg"
2,"5xAM + VT (5%)",16,"True",0.0335950578723167
3,"5xAM + VT (5%)",16,"True",0.0450792390212484
4,"5xAM + VT (5%)",16,"True",0.0510491149689022
5,"5xAM + VT (5%)",16,"True",0.0493724267519412
0,"RM",17,"True",-0.00101114276639109
1,"RM",17,"True",-0.000816825307189271
2,"RM",17,"True",0.000308323677680932
3,"RM",17,"True",0.00159537322552425
4,"RM",17,"True",0.00567940722794877
5,"RM",17,"True",0.00359949749990052
0,"RM + VT (5%)",17,"True",0.000365122413157159
1,"RM + VT (5%)",17,"True",0.000416309909799161
2,"RM + VT (5%)",17,"True",0.000792054196386283
3,"RM + VT (5%)",17,"True",-0.000114075881954442
4,"RM + VT (5%)",17,"True",0.00348262261916189
5,"RM + VT (5%)",17,"True",0.0035949182284677
0,"5xAM",17,"True",-0.000798371402843788
1,"5xAM",17,"True",0.0240765544021417
2,"5xAM",17,"True",0.0401483115851908
3,"5xAM",17,"True",0.0528573424882391
4,"5xAM",17,"True",0.0615922696639432
5,"5xAM",17,"True",0.0642680457371393
0,"5xAM + VT (5%)",17,"True",-0.000405759356111493
1,"5xAM + VT (5%)",17,"True",0.0173427683092874
2,"5xAM + VT (5%)",17,"True",0.032362323412192
3,"5xAM + VT (5%)",17,"True",0.0439802762228907
4,"5xAM + VT (5%)",17,"True",0.0520824142733354
5,"5xAM + VT (5%)",17,"True",0.0504468321667786
0,"RM",18,"True",-0.00117963879965613
1,"RM",18,"True",-0.0013817215211794
2,"RM",18,"True",-0.000786977462604442
3,"RM",18,"True",-0.000363932611210123
4,"RM",18,"True",-0.00239213002791827
5,"RM",18,"True",-0.00173383419823404
0,"RM + VT (5%)",18,"True",-0.00106383284798223
1,"RM + VT (5%)",18,"True",5.37831156950639e-05
2,"RM + VT (5%)",18,"True",-0.00140137461445914
3,"RM + VT (5%)",18,"True",-0.00218221456925379
4,"RM + VT (5%)",18,"True",-0.00174734562179722
5,"RM + VT (5%)",18,"True",0.000229420843448709
0,"5xAM",18,"True",-0.000589793090580983
1,"5xAM",18,"True",0.023963264731427
2,"5xAM",18,"True",0.0398468646571748
3,"5xAM",18,"True",0.0519193220420896
4,"5xAM",18,"True",0.0580298979607192
5,"5xAM",18,"True",0.064505017896095
0,"5xAM + VT (5%)",18,"True",-0.000428620620527581
1,"5xAM + VT (5%)",18,"True",0.0156153837076098
2,"5xAM + VT (5%)",18,"True",0.0319119163512881
3,"5xAM + VT (5%)",18,"True",0.0453852093996357
4,"5xAM + VT (5%)",18,"True",0.0507538145147818
5,"5xAM + VT (5%)",18,"True",0.0587820118836824
0,"RM",19,"True",-0.000153484726497591
1,"RM",19,"True",-0.000137731479296619
2,"RM",19,"True",-0.00158983557937805
3,"RM",19,"True",-0.000572693250806989
4,"RM",19,"True",0.000612168829185124
5,"RM",19,"True",0.00297652616942643
0,"RM + VT (5%)",19,"True",7.36262738143774e-05
1,"RM + VT (5%)",19,"True",0.000167080524022972
2,"RM + VT (5%)",19,"True",-0.00167857999026203
3,"RM + VT (5%)",19,"True",-0.0020095942522376
4,"RM + VT (5%)",19,"True",-0.000756029311699817
5,"RM + VT (5%)",19,"True",-0.00351064629861741
0,"5xAM",19,"True",9.43782481768989e-05
1,"5xAM",19,"True",0.0251931490007569
2,"5xAM",19,"True",0.0410774486078021
3,"5xAM",19,"True",0.0545804038280088
4,"5xAM",19,"True",0.0595915815374081
5,"5xAM",19,"True",0.0673946225737129
0,"5xAM + VT (5%)",19,"True",0.000149157455003149
1,"5xAM + VT (5%)",19,"True",0.0174722729101748
2,"5xAM + VT (5%)",19,"True",0.0308079543792374
3,"5xAM + VT (5%)",19,"True",0.0428859697286171
4,"5xAM + VT (5%)",19,"True",0.0537718857716377
5,"5xAM + VT (5%)",19,"True",0.0598965335780977
0,"RM",2,"True",-0.000491135519105548
1,"RM",2,"True",-0.000513906338311318
2,"RM",2,"True",0.000573154356255322
3,"RM",2,"True",0.00186763950226652
4,"RM",2,"True",-0.00104874041876331
5,"RM",2,"True",-0.000715466409952724
0,"RM + VT (5%)",2,"True",-0.00048214529233136
1,"RM + VT (5%)",2,"True",-0.00031028997223028
2,"RM + VT (5%)",2,"True",0.000359272293485089
3,"RM + VT (5%)",2,"True",-0.00181584306907509
4,"RM + VT (5%)",2,"True",-0.0004875502482722
5,"RM + VT (5%)",2,"True",0.00246665615823673
0,"5xAM",2,"True",8.90095543444957e-05
1,"5xAM",2,"True",0.0240969343106026
2,"5xAM",2,"True",0.0382085631861593
3,"5xAM",2,"True",0.0468943510684228
4,"5xAM",2,"True",0.0551333404526151
5,"5xAM",2,"True",0.0589269053068603
0,"5xAM + VT (5%)",2,"True",0.000547314582594154
1,"5xAM + VT (5%)",2,"True",0.0172306434605659
2,"5xAM + VT (5%)",2,"True",0.0306744759359157
3,"5xAM + VT (5%)",2,"True",0.0429989994670183
4,"5xAM + VT (5%)",2,"True",0.0482405634793383
5,"5xAM + VT (5%)",2,"True",0.0482470395315893
0,"RM",20,"True",6.26324800827312e-05
1,"RM",20,"True",0.000433408738923842
2,"RM",20,"True",0.00291466104794271
3,"RM",20,"True",-0.00175117336051853
4,"RM",20,"True",0.000663634941903404
5,"RM",20,"True",0.00285755251513809
0,"RM + VT (5%)",20,"True",-0.000329052913089261
1,"RM + VT (5%)",20,"True",9.39489619503256e-05
