"seed","gen","variable","value","traits"
21,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.557485727091854,"edu / height"
21,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.440558217415753,"edu / height"
21,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.388153517974714,"edu / height"
22,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.0162847627111116,"edu / height"
22,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.327757389837212,"edu / height"
22,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.450047311944537,"edu / height"
22,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.533300991086002,"edu / height"
22,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.449410058814163,"edu / height"
22,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.303540359581365,"edu / height"
23,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.000295564911138692,"edu / height"
23,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.304737912704896,"edu / height"
23,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.463083159345476,"edu / height"
23,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.512526480612431,"edu / height"
23,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.451515559255146,"edu / height"
23,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.368846392011023,"edu / height"
24,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.0157810227792696,"edu / height"
24,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.266501078404816,"edu / height"
24,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.496281849032949,"edu / height"
24,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.588408579446862,"edu / height"
24,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.482839131190689,"edu / height"
24,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.367538859952231,"edu / height"
25,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",-0.03671423964768,"edu / height"
25,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.298594829261659,"edu / height"
25,2,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.428407410709288,"edu / height"
25,3,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.540812754732899,"edu / height"
25,4,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.467167983930665,"edu / height"
25,5,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.386409424412348,"edu / height"
26,0,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.0627238409494207,"edu / height"
26,1,"rbeta_hat_pgwas_edu.phenotype_height.phenotype",0.362807049661702,"edu / height"
