"gen","scenario","seed","gwas_type","fpr"
1,"RM",18,"Population GWAS",0.047875
2,"RM",18,"Population GWAS",0.0495
3,"RM",18,"Population GWAS",0.048625
4,"RM",18,"Population GWAS",0.04975
5,"RM",18,"Population GWAS",0.048125
0,"RM + VT (5%)",18,"Population GWAS",0.049
1,"RM + VT (5%)",18,"Population GWAS",0.04825
2,"RM + VT (5%)",18,"Population GWAS",0.05175
3,"RM + VT (5%)",18,"Population GWAS",0.0515625
4,"RM + VT (5%)",18,"Population GWAS",0.05
5,"RM + VT (5%)",18,"Population GWAS",0.0538125
0,"5xAM",18,"Population GWAS",0.0506875
1,"5xAM",18,"Population GWAS",0.0521875
2,"5xAM",18,"Population GWAS",0.049875
3,"5xAM",18,"Population GWAS",0.0514375
4,"5xAM",18,"Population GWAS",0.0513125
5,"5xAM",18,"Population GWAS",0.051125
0,"5xAM + VT (5%)",18,"Population GWAS",0.053375
1,"5xAM + VT (5%)",18,"Population GWAS",0.0554375
2,"5xAM + VT (5%)",18,"Population GWAS",0.0590625
3,"5xAM + VT (5%)",18,"Population GWAS",0.06725
4,"5xAM + VT (5%)",18,"Population GWAS",0.0708125
5,"5xAM + VT (5%)",18,"Population GWAS",0.067375
0,"RM",19,"Population GWAS",0.049625
1,"RM",19,"Population GWAS",0.0496875
2,"RM",19,"Population GWAS",0.0503125
3,"RM",19,"Population GWAS",0.0506875
4,"RM",19,"Population GWAS",0.0498125
5,"RM",19,"Population GWAS",0.049875
0,"RM + VT (5%)",19,"Population GWAS",0.0478125
1,"RM + VT (5%)",19,"Population GWAS",0.050125
2,"RM + VT (5%)",19,"Population GWAS",0.0546875
3,"RM + VT (5%)",19,"Population GWAS",0.0505
4,"RM + VT (5%)",19,"Population GWAS",0.0545
5,"RM + VT (5%)",19,"Population GWAS",0.0514375
0,"5xAM",19,"Population GWAS",0.0475
1,"5xAM",19,"Population GWAS",0.0506875
2,"5xAM",19,"Population GWAS",0.0524375
3,"5xAM",19,"Population GWAS",0.051875
4,"5xAM",19,"Population GWAS",0.0505
5,"5xAM",19,"Population GWAS",0.0515
0,"5xAM + VT (5%)",19,"Population GWAS",0.0515625
1,"5xAM + VT (5%)",19,"Population GWAS",0.0534375
2,"5xAM + VT (5%)",19,"Population GWAS",0.061625
