"seed","gen","variable","value","Outcome","Quantity"
3,5,"h2HE_height",0.725692093372345,"height","h2_HE"
30,0,"h2HE_height",0.593512296676636,"height","h2_HE"
30,1,"h2HE_height",0.641836285591125,"height","h2_HE"
30,2,"h2HE_height",0.664839148521423,"height","h2_HE"
30,3,"h2HE_height",0.675951838493347,"height","h2_HE"
30,4,"h2HE_height",0.724473536014557,"height","h2_HE"
30,5,"h2HE_height",0.710923492908478,"height","h2_HE"
31,0,"h2HE_height",0.605509459972382,"height","h2_HE"
31,1,"h2HE_height",0.656943440437317,"height","h2_HE"
31,2,"h2HE_height",0.68935215473175,"height","h2_HE"
31,3,"h2HE_height",0.696621119976044,"height","h2_HE"
31,4,"h2HE_height",0.726035594940186,"height","h2_HE"
31,5,"h2HE_height",0.719996988773346,"height","h2_HE"
32,0,"h2HE_height",0.605236232280731,"height","h2_HE"
32,1,"h2HE_height",0.646069943904877,"height","h2_HE"
32,2,"h2HE_height",0.676356017589569,"height","h2_HE"
32,3,"h2HE_height",0.700126647949219,"height","h2_HE"
32,4,"h2HE_height",0.710454285144806,"height","h2_HE"
32,5,"h2HE_height",0.708877086639404,"height","h2_HE"
33,0,"h2HE_height",0.555026590824127,"height","h2_HE"
33,1,"h2HE_height",0.60603928565979,"height","h2_HE"
33,2,"h2HE_height",0.637499690055847,"height","h2_HE"
33,3,"h2HE_height",0.649553656578064,"height","h2_HE"
33,4,"h2HE_height",0.649607539176941,"height","h2_HE"
33,5,"h2HE_height",0.680183947086334,"height","h2_HE"
34,0,"h2HE_height",0.601833522319794,"height","h2_HE"
34,1,"h2HE_height",0.655265152454376,"height","h2_HE"
34,2,"h2HE_height",0.696045339107513,"height","h2_HE"
34,3,"h2HE_height",0.706245303153992,"height","h2_HE"
34,4,"h2HE_height",0.731701493263245,"height","h2_HE"
34,5,"h2HE_height",0.735696077346802,"height","h2_HE"
35,0,"h2HE_height",0.609435319900513,"height","h2_HE"
35,1,"h2HE_height",0.647231936454773,"height","h2_HE"
35,2,"h2HE_height",0.675988554954529,"height","h2_HE"
35,3,"h2HE_height",0.690008997917175,"height","h2_HE"
35,4,"h2HE_height",0.712203919887543,"height","h2_HE"
35,5,"h2HE_height",0.718581438064575,"height","h2_HE"
36,0,"h2HE_height",0.595130562782288,"height","h2_HE"
36,1,"h2HE_height",0.6466463804245,"height","h2_HE"
36,2,"h2HE_height",0.677299916744232,"height","h2_HE"
36,3,"h2HE_height",0.709532916545868,"height","h2_HE"
36,4,"h2HE_height",0.733644306659698,"height","h2_HE"
36,5,"h2HE_height",0.744969666004181,"height","h2_HE"
37,0,"h2HE_height",0.606687664985657,"height","h2_HE"
37,1,"h2HE_height",0.656545400619507,"height","h2_HE"
37,2,"h2HE_height",0.689955711364746,"height","h2_HE"
37,3,"h2HE_height",0.702554166316986,"height","h2_HE"
37,4,"h2HE_height",0.733147382736206,"height","h2_HE"
37,5,"h2HE_height",0.737186193466187,"height","h2_HE"
38,0,"h2HE_height",0.598032474517822,"height","h2_HE"
38,1,"h2HE_height",0.647795736789703,"height","h2_HE"
38,2,"h2HE_height",0.677512645721436,"height","h2_HE"
38,3,"h2HE_height",0.710922300815582,"height","h2_HE"
38,4,"h2HE_height",0.724925220012665,"height","h2_HE"
38,5,"h2HE_height",0.737071871757507,"height","h2_HE"
39,0,"h2HE_height",0.582206189632416,"height","h2_HE"
39,1,"h2HE_height",0.629289984703064,"height","h2_HE"
39,2,"h2HE_height",0.65337473154068,"height","h2_HE"
39,3,"h2HE_height",0.683580458164215,"height","h2_HE"
39,4,"h2HE_height",0.710384368896484,"height","h2_HE"
39,5,"h2HE_height",0.740919768810272,"height","h2_HE"
4,0,"h2HE_height",0.601035416126251,"height","h2_HE"
4,1,"h2HE_height",0.643810570240021,"height","h2_HE"
4,2,"h2HE_height",0.685137569904327,"height","h2_HE"
4,3,"h2HE_height",0.705888509750366,"height","h2_HE"
4,4,"h2HE_height",0.703647315502167,"height","h2_HE"
