"gen","seed","args_rmate","args_kphen","args_theta","args_cnoise","he_rg","rg_true","scenario","CN"
3,100,0.1,5,0.05,0,0.346260623733606,0.0338603255567636,"5xAM + VT (5%)","0"
4,100,0.1,5,0.05,0,0.366572530756502,0.0381735856843143,"5xAM + VT (5%)","0"
5,100,0.1,5,0.05,0,0.368118050055025,0.034375038111858,"5xAM + VT (5%)","0"
0,100,0.1,5,0.05,0,0.000151952559251486,0.000473892505708534,"5xAM + VT (5%)","0"
1,100,0.1,5,0.05,0,0.236513466209209,0.0183111970074914,"5xAM + VT (5%)","0"
2,100,0.1,5,0.05,0,0.322552662445777,0.0287389630578441,"5xAM + VT (5%)","0"
3,100,0.1,5,0.05,0,0.345619819677702,0.0305225999122278,"5xAM + VT (5%)","0"
4,100,0.1,5,0.05,0,0.360542456004193,0.0325477163186234,"5xAM + VT (5%)","0"
5,100,0.1,5,0.05,0,0.38014344566091,0.0361264238669435,"5xAM + VT (5%)","0"
0,100,0.1,5,0.05,0,0.00121689551167209,0.000491480890170254,"5xAM + VT (5%)","0"
1,100,0.1,5,0.05,0,0.247303308885183,0.0176126239666501,"5xAM + VT (5%)","0"
2,100,0.1,5,0.05,0,0.34108582117644,0.0277716732036547,"5xAM + VT (5%)","0"
3,100,0.1,5,0.05,0,0.371479450390482,0.0293637083919326,"5xAM + VT (5%)","0"
4,100,0.1,5,0.05,0,0.398146507406982,0.0330611328364753,"5xAM + VT (5%)","0"
5,100,0.1,5,0.05,0,0.403330737131324,0.0318691841243526,"5xAM + VT (5%)","0"
0,101,0.1,5,0,0,5.92169097476767e-05,-0.000175787413920376,"5xAM","0"
1,101,0.1,5,0,0,0.0500785551502082,0.023476693493908,"5xAM","0"
2,101,0.1,5,0,0,0.083006254651674,0.0382876648461652,"5xAM","0"
3,101,0.1,5,0,0,0.101970800848401,0.0474210974455576,"5xAM","0"
4,101,0.1,5,0,0,0.112637048329498,0.0507547774479431,"5xAM","0"
5,101,0.1,5,0,0,0.140915484783448,0.0642159305539329,"5xAM","0"
0,101,0.1,5,0,0,-0.00265958934863142,-0.000875478985394623,"5xAM","0"
1,101,0.1,5,0,0,0.0498268201974703,0.0242517911911264,"5xAM","0"
2,101,0.1,5,0,0,0.0880857372853643,0.0415439638732406,"5xAM","0"
3,101,0.1,5,0,0,0.104897266879819,0.0480459450614189,"5xAM","0"
4,101,0.1,5,0,0,0.117355750482098,0.0539009470252007,"5xAM","0"
