"gen","scenario","seed","quantity","h2"
1,"5xAM + GxE",103,"Panmictic (causal var.)",0.483872841725737
2,"5xAM + GxE",103,"Panmictic (causal var.)",0.479064932459965
3,"5xAM + GxE",103,"Panmictic (causal var.)",0.477469401882562
4,"5xAM + GxE",103,"Panmictic (causal var.)",0.478512625659229
5,"5xAM + GxE",103,"Panmictic (causal var.)",0.472508834631531
0,"5xAM + VT",103,"Panmictic (causal var.)",0.48734262552705
1,"5xAM + VT",103,"Panmictic (causal var.)",0.426640950591637
2,"5xAM + VT",103,"Panmictic (causal var.)",0.403014713999527
3,"5xAM + VT",103,"Panmictic (causal var.)",0.395636261056914
4,"5xAM + VT",103,"Panmictic (causal var.)",0.392895980405018
5,"5xAM + VT",103,"Panmictic (causal var.)",0.393575876404025
0,"5xAM + VT + GxE",103,"Panmictic (causal var.)",0.487759587765346
1,"5xAM + VT + GxE",103,"Panmictic (causal var.)",0.422147215476789
2,"5xAM + VT + GxE",103,"Panmictic (causal var.)",0.394711560306789
3,"5xAM + VT + GxE",103,"Panmictic (causal var.)",0.387561357552269
4,"5xAM + VT + GxE",103,"Panmictic (causal var.)",0.382073723249777
5,"5xAM + VT + GxE",103,"Panmictic (causal var.)",0.381368138084963
0,"5xAM",104,"Panmictic (causal var.)",0.498481511360493
1,"5xAM",104,"Panmictic (causal var.)",0.492598107219053
2,"5xAM",104,"Panmictic (causal var.)",0.487924978992665
3,"5xAM",104,"Panmictic (causal var.)",0.487747526895606
4,"5xAM",104,"Panmictic (causal var.)",0.488697495073936
5,"5xAM",104,"Panmictic (causal var.)",0.485650958024211
0,"5xAM + GxE",104,"Panmictic (causal var.)",0.501310761011693
1,"5xAM + GxE",104,"Panmictic (causal var.)",0.496701491890316
2,"5xAM + GxE",104,"Panmictic (causal var.)",0.492100788464464
3,"5xAM + GxE",104,"Panmictic (causal var.)",0.488381034766923
4,"5xAM + GxE",104,"Panmictic (causal var.)",0.488220032607357
5,"5xAM + GxE",104,"Panmictic (causal var.)",0.493958194042489
0,"5xAM + VT",104,"Panmictic (causal var.)",0.497934154477152
1,"5xAM + VT",104,"Panmictic (causal var.)",0.435772853842931
2,"5xAM + VT",104,"Panmictic (causal var.)",0.412296914610033
3,"5xAM + VT",104,"Panmictic (causal var.)",0.403437512128549
4,"5xAM + VT",104,"Panmictic (causal var.)",0.400066101912446
5,"5xAM + VT",104,"Panmictic (causal var.)",0.398285602857993
0,"5xAM + VT + GxE",104,"Panmictic (causal var.)",0.497890296289462
1,"5xAM + VT + GxE",104,"Panmictic (causal var.)",0.431342985341156
2,"5xAM + VT + GxE",104,"Panmictic (causal var.)",0.405941854293856
3,"5xAM + VT + GxE",104,"Panmictic (causal var.)",0.393276511067145
4,"5xAM + VT + GxE",104,"Panmictic (causal var.)",0.391469884678114
5,"5xAM + VT + GxE",104,"Panmictic (causal var.)",0.387281527986722
0,"5xAM",105,"Panmictic (causal var.)",0.495078822422978
1,"5xAM",105,"Panmictic (causal var.)",0.488695213513088
2,"5xAM",105,"Panmictic (causal var.)",0.48476476931383
3,"5xAM",105,"Panmictic (causal var.)",0.484137583141319
4,"5xAM",105,"Panmictic (causal var.)",0.480307276485373
5,"5xAM",105,"Panmictic (causal var.)",0.477452362640261
0,"5xAM + GxE",105,"Panmictic (causal var.)",0.49763742797524
1,"5xAM + GxE",105,"Panmictic (causal var.)",0.492858438163019
2,"5xAM + GxE",105,"Panmictic (causal var.)",0.488136936584492
3,"5xAM + GxE",105,"Panmictic (causal var.)",0.490928135613907
4,"5xAM + GxE",105,"Panmictic (causal var.)",0.480064587151365
5,"5xAM + GxE",105,"Panmictic (causal var.)",0.478738209027923
0,"5xAM + VT",105,"Panmictic (causal var.)",0.493886016857838
1,"5xAM + VT",105,"Panmictic (causal var.)",0.432131187303155
2,"5xAM + VT",105,"Panmictic (causal var.)",0.410478218357251
3,"5xAM + VT",105,"Panmictic (causal var.)",0.403531981620577
4,"5xAM + VT",105,"Panmictic (causal var.)",0.398274874508408
5,"5xAM + VT",105,"Panmictic (causal var.)",0.391263398417677
0,"5xAM + VT + GxE",105,"Panmictic (causal var.)",0.494494570159137
1,"5xAM + VT + GxE",105,"Panmictic (causal var.)",0.429304152416981
2,"5xAM + VT + GxE",105,"Panmictic (causal var.)",0.402847194794693
3,"5xAM + VT + GxE",105,"Panmictic (causal var.)",0.391840533879644
4,"5xAM + VT + GxE",105,"Panmictic (causal var.)",0.387675905848464
5,"5xAM + VT + GxE",105,"Panmictic (causal var.)",0.382580038433631
0,"5xAM",106,"Panmictic (causal var.)",0.504087883829166
1,"5xAM",106,"Panmictic (causal var.)",0.496684158417629
2,"5xAM",106,"Panmictic (causal var.)",0.494040126349664
3,"5xAM",106,"Panmictic (causal var.)",0.49261914388458
4,"5xAM",106,"Panmictic (causal var.)",0.491722196082882
5,"5xAM",106,"Panmictic (causal var.)",0.485240796215939
0,"5xAM + GxE",106,"Panmictic (causal var.)",0.505605517900501
1,"5xAM + GxE",106,"Panmictic (causal var.)",0.4990306018686
2,"5xAM + GxE",106,"Panmictic (causal var.)",0.496007699468816
3,"5xAM + GxE",106,"Panmictic (causal var.)",0.493483386342404
4,"5xAM + GxE",106,"Panmictic (causal var.)",0.492565201864559
5,"5xAM + GxE",106,"Panmictic (causal var.)",0.493787641730874
0,"5xAM + VT",106,"Panmictic (causal var.)",0.504563286618673
1,"5xAM + VT",106,"Panmictic (causal var.)",0.43989678597305
2,"5xAM + VT",106,"Panmictic (causal var.)",0.414755669685524
3,"5xAM + VT",106,"Panmictic (causal var.)",0.408397165817676
4,"5xAM + VT",106,"Panmictic (causal var.)",0.40341174488722
5,"5xAM + VT",106,"Panmictic (causal var.)",0.402473855119614
0,"5xAM + VT + GxE",106,"Panmictic (causal var.)",0.503768157537604
1,"5xAM + VT + GxE",106,"Panmictic (causal var.)",0.437096734112506
2,"5xAM + VT + GxE",106,"Panmictic (causal var.)",0.408152425950044
3,"5xAM + VT + GxE",106,"Panmictic (causal var.)",0.401869221744595
4,"5xAM + VT + GxE",106,"Panmictic (causal var.)",0.394121248266746
5,"5xAM + VT + GxE",106,"Panmictic (causal var.)",0.387234568680934
0,"5xAM",107,"Panmictic (causal var.)",0.497452750941426
1,"5xAM",107,"Panmictic (causal var.)",0.490643796342939
2,"5xAM",107,"Panmictic (causal var.)",0.485341482079997
3,"5xAM",107,"Panmictic (causal var.)",0.484182605521261
4,"5xAM",107,"Panmictic (causal var.)",0.484836363297151
5,"5xAM",107,"Panmictic (causal var.)",0.485031848706534
0,"5xAM + GxE",107,"Panmictic (causal var.)",0.499973193771627
1,"5xAM + GxE",107,"Panmictic (causal var.)",0.491503027338862
2,"5xAM + GxE",107,"Panmictic (causal var.)",0.487592238889037
3,"5xAM + GxE",107,"Panmictic (causal var.)",0.487911612855363
4,"5xAM + GxE",107,"Panmictic (causal var.)",0.48143406496155
5,"5xAM + GxE",107,"Panmictic (causal var.)",0.482302544297723
0,"5xAM + VT",107,"Panmictic (causal var.)",0.49609992304933
1,"5xAM + VT",107,"Panmictic (causal var.)",0.435265776246284
2,"5xAM + VT",107,"Panmictic (causal var.)",0.411648837711699
3,"5xAM + VT",107,"Panmictic (causal var.)",0.399862924488064
4,"5xAM + VT",107,"Panmictic (causal var.)",0.397050577377992
5,"5xAM + VT",107,"Panmictic (causal var.)",0.395414000061631
0,"5xAM + VT + GxE",107,"Panmictic (causal var.)",0.497429264591144
1,"5xAM + VT + GxE",107,"Panmictic (causal var.)",0.430118022207708
2,"5xAM + VT + GxE",107,"Panmictic (causal var.)",0.404324595698879
3,"5xAM + VT + GxE",107,"Panmictic (causal var.)",0.392667099463911
4,"5xAM + VT + GxE",107,"Panmictic (causal var.)",0.392489369684152
5,"5xAM + VT + GxE",107,"Panmictic (causal var.)",0.389665501849166
0,"5xAM",108,"Panmictic (causal var.)",0.498490274412663
1,"5xAM",108,"Panmictic (causal var.)",0.490006815567428
2,"5xAM",108,"Panmictic (causal var.)",0.487457974020068
3,"5xAM",108,"Panmictic (causal var.)",0.48389388689281
4,"5xAM",108,"Panmictic (causal var.)",0.480694526165486
5,"5xAM",108,"Panmictic (causal var.)",0.478352765896487
0,"5xAM + GxE",108,"Panmictic (causal var.)",0.500421360702884
1,"5xAM + GxE",108,"Panmictic (causal var.)",0.491837710779682
2,"5xAM + GxE",108,"Panmictic (causal var.)",0.487340989133996
3,"5xAM + GxE",108,"Panmictic (causal var.)",0.488000219089038
4,"5xAM + GxE",108,"Panmictic (causal var.)",0.481252812438258
5,"5xAM + GxE",108,"Panmictic (causal var.)",0.476079713016937
0,"5xAM + VT",108,"Panmictic (causal var.)",0.497327320008959
1,"5xAM + VT",108,"Panmictic (causal var.)",0.435485103342795
2,"5xAM + VT",108,"Panmictic (causal var.)",0.410252747499661
3,"5xAM + VT",108,"Panmictic (causal var.)",0.404947522562102
4,"5xAM + VT",108,"Panmictic (causal var.)",0.397001854137475
5,"5xAM + VT",108,"Panmictic (causal var.)",0.399889306195808
0,"5xAM + VT + GxE",108,"Panmictic (causal var.)",0.497592836816297
1,"5xAM + VT + GxE",108,"Panmictic (causal var.)",0.430519046401843
2,"5xAM + VT + GxE",108,"Panmictic (causal var.)",0.40462015586318
3,"5xAM + VT + GxE",108,"Panmictic (causal var.)",0.39609289389806
4,"5xAM + VT + GxE",108,"Panmictic (causal var.)",0.389724044878909
5,"5xAM + VT + GxE",108,"Panmictic (causal var.)",0.383457411531657
0,"5xAM",109,"Panmictic (causal var.)",0.496534614024404
1,"5xAM",109,"Panmictic (causal var.)",0.488988929434878
2,"5xAM",109,"Panmictic (causal var.)",0.487048005529785
3,"5xAM",109,"Panmictic (causal var.)",0.488624664621319
4,"5xAM",109,"Panmictic (causal var.)",0.482469607180567
5,"5xAM",109,"Panmictic (causal var.)",0.484597241904424
0,"5xAM + GxE",109,"Panmictic (causal var.)",0.500109526421025
1,"5xAM + GxE",109,"Panmictic (causal var.)",0.493839413147517
2,"5xAM + GxE",109,"Panmictic (causal var.)",0.488486787457903
3,"5xAM + GxE",109,"Panmictic (causal var.)",0.488853521446646
4,"5xAM + GxE",109,"Panmictic (causal var.)",0.487317892923063
5,"5xAM + GxE",109,"Panmictic (causal var.)",0.483971972989674
0,"5xAM + VT",109,"Panmictic (causal var.)",0.496226368709397
1,"5xAM + VT",109,"Panmictic (causal var.)",0.433164605686296
2,"5xAM + VT",109,"Panmictic (causal var.)",0.411665171749701
3,"5xAM + VT",109,"Panmictic (causal var.)",0.405923618893101
4,"5xAM + VT",109,"Panmictic (causal var.)",0.402972725145056
5,"5xAM + VT",109,"Panmictic (causal var.)",0.402652581168694
0,"5xAM + VT + GxE",109,"Panmictic (causal var.)",0.496616555170599
1,"5xAM + VT + GxE",109,"Panmictic (causal var.)",0.430179624405394
2,"5xAM + VT + GxE",109,"Panmictic (causal var.)",0.40450226289593
3,"5xAM + VT + GxE",109,"Panmictic (causal var.)",0.392896106598268
4,"5xAM + VT + GxE",109,"Panmictic (causal var.)",0.386524024755858
5,"5xAM + VT + GxE",109,"Panmictic (causal var.)",0.382674248395964
0,"5xAM",11,"Panmictic (causal var.)",0.501660359136631
1,"5xAM",11,"Panmictic (causal var.)",0.49490292730401
2,"5xAM",11,"Panmictic (causal var.)",0.492019662608249
3,"5xAM",11,"Panmictic (causal var.)",0.488715927104627
4,"5xAM",11,"Panmictic (causal var.)",0.48795431156074
5,"5xAM",11,"Panmictic (causal var.)",0.4845798217836
0,"5xAM + GxE",11,"Panmictic (causal var.)",0.504140826281003
1,"5xAM + GxE",11,"Panmictic (causal var.)",0.497343635139065
2,"5xAM + GxE",11,"Panmictic (causal var.)",0.495079381683501
3,"5xAM + GxE",11,"Panmictic (causal var.)",0.492361380896784
4,"5xAM + GxE",11,"Panmictic (causal var.)",0.486039095806787
5,"5xAM + GxE",11,"Panmictic (causal var.)",0.485113467899699
0,"5xAM + VT",11,"Panmictic (causal var.)",0.500872120677481
1,"5xAM + VT",11,"Panmictic (causal var.)",0.43869951786483
2,"5xAM + VT",11,"Panmictic (causal var.)",0.415195702637741
3,"5xAM + VT",11,"Panmictic (causal var.)",0.409042759906317
4,"5xAM + VT",11,"Panmictic (causal var.)",0.401294912926164
5,"5xAM + VT",11,"Panmictic (causal var.)",0.393096769322908
0,"5xAM + VT + GxE",11,"Panmictic (causal var.)",0.502089593144609
1,"5xAM + VT + GxE",11,"Panmictic (causal var.)",0.433707304023191
2,"5xAM + VT + GxE",11,"Panmictic (causal var.)",0.406694146442946
3,"5xAM + VT + GxE",11,"Panmictic (causal var.)",0.394569118424064
4,"5xAM + VT + GxE",11,"Panmictic (causal var.)",0.390427567921908
5,"5xAM + VT + GxE",11,"Panmictic (causal var.)",0.382853072315133
0,"5xAM",110,"Panmictic (causal var.)",0.498898891908976
1,"5xAM",110,"Panmictic (causal var.)",0.494500928776068
2,"5xAM",110,"Panmictic (causal var.)",0.490322676847453
3,"5xAM",110,"Panmictic (causal var.)",0.485667826875256
4,"5xAM",110,"Panmictic (causal var.)",0.484660782259169
5,"5xAM",110,"Panmictic (causal var.)",0.482303061804498
0,"5xAM + GxE",110,"Panmictic (causal var.)",0.501608818109438
1,"5xAM + GxE",110,"Panmictic (causal var.)",0.496771246740822
2,"5xAM + GxE",110,"Panmictic (causal var.)",0.492890217703287
3,"5xAM + GxE",110,"Panmictic (causal var.)",0.491047838621735
4,"5xAM + GxE",110,"Panmictic (causal var.)",0.488387684897115
5,"5xAM + GxE",110,"Panmictic (causal var.)",0.483038521326521
0,"5xAM + VT",110,"Panmictic (causal var.)",0.498131656489713
1,"5xAM + VT",110,"Panmictic (causal var.)",0.435634493603035
