"gen","xAM","outcome","pheno_1","pheno_2","value","se"
5,"6-variate","gamma","ADHD","BIP",1.20768351915323,0.293574704967457
0,"2-variate","rgHE","ADHD","BIP",-0.000788670531639097,0.0262953035258079
1,"2-variate","rgHE","ADHD","BIP",0.0696205777491042,0.0313663243408762
2,"2-variate","rgHE","ADHD","BIP",0.11824868027154,0.0362798951122802
3,"2-variate","rgHE","ADHD","BIP",0.14843164233568,0.047326768808702
4,"2-variate","rgHE","ADHD","BIP",0.172596401354309,0.0527835327379183
5,"2-variate","rgHE","ADHD","BIP",0.171650877888136,0.0511393902446121
0,"6-variate","rgHE","ADHD","BIP",-0.000788670531639097,0.0262953035258079
1,"6-variate","rgHE","ADHD","BIP",0.0856665397698959,0.0323007018530388
2,"6-variate","rgHE","ADHD","BIP",0.13679126267354,0.0431963105745426
3,"6-variate","rgHE","ADHD","BIP",0.169725589114938,0.0467696560486637
4,"6-variate","rgHE","ADHD","BIP",0.186024497903432,0.0373610721592309
5,"6-variate","rgHE","ADHD","BIP",0.214040936845618,0.0520310089597076
0,"2-variate","rgtrue","ADHD","BIP",0.000737615991636238,0.0109904928855256
1,"2-variate","rgtrue","ADHD","BIP",0.0357709545251865,0.0152375465974842
2,"2-variate","rgtrue","ADHD","BIP",0.0591611127410391,0.0168072870697238
3,"2-variate","rgtrue","ADHD","BIP",0.0697841237840608,0.0223589099088666
4,"2-variate","rgtrue","ADHD","BIP",0.0807514528497486,0.023801796112739
5,"2-variate","rgtrue","ADHD","BIP",0.0834867603424738,0.0241438804117461
0,"6-variate","rgtrue","ADHD","BIP",0.000737615991636238,0.0109904928855256
1,"6-variate","rgtrue","ADHD","BIP",0.0391893776112928,0.014397357289516
2,"6-variate","rgtrue","ADHD","BIP",0.0614856306243744,0.018917051902306
3,"6-variate","rgtrue","ADHD","BIP",0.0729412870400057,0.0210351953333721
4,"6-variate","rgtrue","ADHD","BIP",0.0839243817371175,0.0203001448236081
5,"6-variate","rgtrue","ADHD","BIP",0.0886392150373275,0.0226390062861845
0,"2-variate","gamma","ALC","BIP",0.0477846555968135,0.123742047360088
1,"2-variate","gamma","ALC","BIP",0.213191380947747,0.112018200145202
2,"2-variate","gamma","ALC","BIP",0.304232165280598,0.126944579544772
3,"2-variate","gamma","ALC","BIP",0.381711160932711,0.144867177366218
4,"2-variate","gamma","ALC","BIP",0.447444072409437,0.116143594962844
5,"2-variate","gamma","ALC","BIP",0.467942594710125,0.105793856000558
0,"6-variate","gamma","ALC","BIP",0.0477846555968135,0.123742047360088
1,"6-variate","gamma","ALC","BIP",0.25130003701062,0.127490585635982
2,"6-variate","gamma","ALC","BIP",0.448896135233969,0.117807995004953
3,"6-variate","gamma","ALC","BIP",0.529650399091348,0.133409087978816
4,"6-variate","gamma","ALC","BIP",0.617130508663222,0.146051075600812
5,"6-variate","gamma","ALC","BIP",0.696474512415148,0.154504455209632
0,"2-variate","rgHE","ALC","BIP",0.0122568325534427,0.0317400445209149
1,"2-variate","rgHE","ALC","BIP",0.0546839382540651,0.0287328611555231
2,"2-variate","rgHE","ALC","BIP",0.0780360734115785,0.0325615023247381
3,"2-variate","rgHE","ALC","BIP",0.0979095579526413,0.0371586796548598
4,"2-variate","rgHE","ALC","BIP",0.114770187712804,0.029791038970598
5,"2-variate","rgHE","ALC","BIP",0.120028165685927,0.0271363042682348
0,"6-variate","rgHE","ALC","BIP",0.0122568325534427,0.0317400445209149
1,"6-variate","rgHE","ALC","BIP",0.0644588857996537,0.0327015588256408
2,"6-variate","rgHE","ALC","BIP",0.115142620909058,0.0302179513944152
3,"6-variate","rgHE","ALC","BIP",0.135856199891289,0.034219662979718
4,"6-variate","rgHE","ALC","BIP",0.158295036404684,0.0374623494135851
5,"6-variate","rgHE","ALC","BIP",0.1786469822496,0.0396306562375411
0,"2-variate","rgtrue","ALC","BIP",0.00326729517382106,0.0101412160501777
1,"2-variate","rgtrue","ALC","BIP",0.0238152912509588,0.0117086191485578
2,"2-variate","rgtrue","ALC","BIP",0.0370125955585095,0.0132083312845843
3,"2-variate","rgtrue","ALC","BIP",0.0470694228907973,0.0129401045967452
4,"2-variate","rgtrue","ALC","BIP",0.0551827927017062,0.0125806980972592
5,"2-variate","rgtrue","ALC","BIP",0.0582450435990061,0.0134555638295027
0,"6-variate","rgtrue","ALC","BIP",0.00326729517382106,0.0101412160501777
1,"6-variate","rgtrue","ALC","BIP",0.0290900236077836,0.0134400958414524
2,"6-variate","rgtrue","ALC","BIP",0.0508864578320676,0.0127765040089642
3,"6-variate","rgtrue","ALC","BIP",0.0577026198337788,0.0151775079903919
4,"6-variate","rgtrue","ALC","BIP",0.0640549544528942,0.0158453779156
5,"6-variate","rgtrue","ALC","BIP",0.0706098256299466,0.0147946377522262
0,"2-variate","gamma","ANX","BIP",0.00169241025959418,0.0978737495686944
1,"2-variate","gamma","ANX","BIP",0.117993144424339,0.101714269885932
2,"2-variate","gamma","ANX","BIP",0.13579366509993,0.135636728771254
3,"2-variate","gamma","ANX","BIP",0.192219248929688,0.115959825202832
4,"2-variate","gamma","ANX","BIP",0.202700844111785,0.136936560644538
5,"2-variate","gamma","ANX","BIP",0.222670372066038,0.131985393160951
0,"6-variate","gamma","ANX","BIP",0.00169241025959418,0.0978737495686944
1,"6-variate","gamma","ANX","BIP",0.0939967232494241,0.0878870087511602
2,"6-variate","gamma","ANX","BIP",0.208254595987549,0.106621979442791
3,"6-variate","gamma","ANX","BIP",0.279226817586353,0.104978713293226
4,"6-variate","gamma","ANX","BIP",0.366012881963615,0.115526280072745
5,"6-variate","gamma","ANX","BIP",0.385985864620166,0.140206997273579
0,"2-variate","rgHE","ANX","BIP",0.000487565955818764,0.0281957838173737
1,"2-variate","rgHE","ANX","BIP",0.0339918363468053,0.0293021738307174
2,"2-variate","rgHE","ANX","BIP",0.0391198810109329,0.0390746615564072
3,"2-variate","rgHE","ANX","BIP",0.0553751584606971,0.033406077851413
4,"2-variate","rgHE","ANX","BIP",0.0583947225769037,0.0394491307356779
5,"2-variate","rgHE","ANX","BIP",0.0641475859420101,0.0380227781672052
0,"6-variate","rgHE","ANX","BIP",0.000487565955818764,0.0281957838173737
1,"6-variate","rgHE","ANX","BIP",0.0270788775749771,0.0253187683663042
2,"6-variate","rgHE","ANX","BIP",0.0599946572177794,0.0307160002350229
3,"6-variate","rgHE","ANX","BIP",0.0804405669494585,0.0302426033170356
4,"6-variate","rgHE","ANX","BIP",0.105442165204604,0.033281184187933
5,"6-variate","rgHE","ANX","BIP",0.111196058084295,0.04039127899942
0,"2-variate","rgtrue","ANX","BIP",0.0023093667377801,0.0098409500764984
1,"2-variate","rgtrue","ANX","BIP",0.0174460045521608,0.0125146422119343
2,"2-variate","rgtrue","ANX","BIP",0.0232737426700667,0.0151655817470449
3,"2-variate","rgtrue","ANX","BIP",0.0279099185523571,0.0154518497136505
4,"2-variate","rgtrue","ANX","BIP",0.0290543219803824,0.0158276089388009
5,"2-variate","rgtrue","ANX","BIP",0.0295735098818385,0.0168730232750405
0,"6-variate","rgtrue","ANX","BIP",0.0023093667377801,0.0098409500764984
1,"6-variate","rgtrue","ANX","BIP",0.012742624082645,0.0107238127970931
2,"6-variate","rgtrue","ANX","BIP",0.0257100555245172,0.0129093667726329
3,"6-variate","rgtrue","ANX","BIP",0.0283249163354646,0.0121689174596044
4,"6-variate","rgtrue","ANX","BIP",0.0372080071124554,0.0114851314499635
5,"6-variate","rgtrue","ANX","BIP",0.0370778902889616,0.0139617039659756
0,"2-variate","gamma","ADHD","MDD",-0.00052063467194421,0.0574570442363389
1,"2-variate","gamma","ADHD","MDD",0.152172754068253,0.0694948377741572
2,"2-variate","gamma","ADHD","MDD",0.274773056729963,0.084426725655572
3,"2-variate","gamma","ADHD","MDD",0.292784141874076,0.0814417216771241
4,"2-variate","gamma","ADHD","MDD",0.340794151721779,0.0730482657539871
5,"2-variate","gamma","ADHD","MDD",0.403456814648628,0.0931607528109994
0,"6-variate","gamma","ADHD","MDD",-0.00052063467194421,0.0574570442363389
1,"6-variate","gamma","ADHD","MDD",0.16553861160795,0.0656120658327358
2,"6-variate","gamma","ADHD","MDD",0.297630060552305,0.0817324708203683
3,"6-variate","gamma","ADHD","MDD",0.3865486619278,0.0801156393319414
4,"6-variate","gamma","ADHD","MDD",0.438741503059308,0.0842549990031263
5,"6-variate","gamma","ADHD","MDD",0.498930118740888,0.086987052348052
0,"2-variate","rgHE","ADHD","MDD",-0.000245487873576954,0.0270925528862605
1,"2-variate","rgHE","ADHD","MDD",0.0717535893119825,0.0327687039855699
2,"2-variate","rgHE","ADHD","MDD",0.129562948814866,0.0398094805434505
3,"2-variate","rgHE","ADHD","MDD",0.138055644091197,0.0384019764382242
4,"2-variate","rgHE","ADHD","MDD",0.160693651726477,0.0344442309249414
5,"2-variate","rgHE","ADHD","MDD",0.190240846528249,0.0439278195319983
0,"6-variate","rgHE","ADHD","MDD",-0.000245487873576954,0.0270925528862605
1,"6-variate","rgHE","ADHD","MDD",0.0780559338051506,0.0309378689390247
2,"6-variate","rgHE","ADHD","MDD",0.140340670042264,0.0385390758007475
3,"6-variate","rgHE","ADHD","MDD",0.182268177674056,0.0377766951918757
