"gen","scenario","variable","var_label","median.50.","q10.10.","q90.90.","mean","se"
5,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.557195073661189,0.543789312219073,0.570113062573572,0.557234418502158,0.000381991688932614
0,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",6.84002833551554e-05,-0.00200329606296567,0.00209065211759355,8.47758881493865e-05,5.81554900213355e-05
1,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.319697572037226,0.315506371673083,0.324178640698723,0.319666649068364,0.000121214600427052
2,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.464852558722097,0.459827261354643,0.470412249208054,0.465041421660428,0.000158146770074805
3,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.532513497455483,0.525625344786794,0.539489630731344,0.532545447913529,0.000207127283236639
4,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.567636068181899,0.557119298144256,0.57718127477804,0.567164302157961,0.000281335486214353
5,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.585747257807709,0.570775466533654,0.600676005561749,0.585395328063163,0.000431659248020215
0,"5xAM","rg_true","italic(r)[score]",-6.82287480675212e-06,-0.000785943134253449,0.000778194645061179,8.45834799683575e-07,2.19140548491707e-05
1,"5xAM","rg_true","italic(r)[score]",0.047439673237686,0.0458633040664496,0.0489899757431913,0.047443293554296,4.45905251532097e-05
2,"5xAM","rg_true","italic(r)[score]",0.0807116933023858,0.078225377571224,0.0829916976528982,0.0806759728466707,6.86333062783253e-05
3,"5xAM","rg_true","italic(r)[score]",0.10391592883652,0.100840421035344,0.107253151334254,0.10394070242327,8.95202489186907e-05
4,"5xAM","rg_true","italic(r)[score]",0.120451076343919,0.116335217489493,0.124555020901642,0.120414014498207,0.000116837439671915
5,"5xAM","rg_true","italic(r)[score]",0.132043690778957,0.126239121592595,0.137329440049042,0.132010351934841,0.000160378975851133
0,"5xAM + GxE","rg_true","italic(r)[score]",-1.91925897781084e-05,-0.000795732469762806,0.000803275999181534,-1.34439506038072e-05,2.36982214415189e-05
1,"5xAM + GxE","rg_true","italic(r)[score]",0.0478812491260369,0.046345836530765,0.0492536034802214,0.0478354608732678,4.28941538833777e-05
2,"5xAM + GxE","rg_true","italic(r)[score]",0.0812302275324109,0.0789100962412386,0.0834774401011191,0.0812218860371765,6.46132526722868e-05
3,"5xAM + GxE","rg_true","italic(r)[score]",0.104619142311142,0.101657510351563,0.107696770745088,0.104668690853535,8.7020590763885e-05
4,"5xAM + GxE","rg_true","italic(r)[score]",0.121168823261166,0.117030914678574,0.12514334522621,0.121091187844976,0.000119040096156727
5,"5xAM + GxE","rg_true","italic(r)[score]",0.132658843940345,0.126906519965103,0.138788850530913,0.132739218000288,0.000162124126449548
0,"5xAM + VT","rg_true","italic(r)[score]",-3.51797724303605e-05,-0.000806843496997037,0.000750032797682419,-2.47806269932689e-05,2.23289303976157e-05
1,"5xAM + VT","rg_true","italic(r)[score]",0.0335515994952416,0.0320472879294773,0.0350044958434805,0.0335064096806468,4.2446007998344e-05
2,"5xAM + VT","rg_true","italic(r)[score]",0.0540303270717447,0.0520000681948615,0.0559374834648508,0.0540297101613565,5.65597789298537e-05
3,"5xAM + VT","rg_true","italic(r)[score]",0.0642130812703481,0.0615355488835389,0.0668102093555056,0.0642024656489345,7.60471512214544e-05
4,"5xAM + VT","rg_true","italic(r)[score]",0.0690720501965272,0.0654665596631964,0.0727814269953813,0.0690680761395362,0.000103174578920976
5,"5xAM + VT","rg_true","italic(r)[score]",0.0711384054166076,0.0654936697246545,0.0759707581817942,0.0709865790173321,0.000147985625279929
0,"5xAM + VT + GxE","rg_true","italic(r)[score]",3.93276149108709e-05,-0.00071517097769462,0.000770914840688653,2.30275955157357e-05,2.16550818620197e-05
1,"5xAM + VT + GxE","rg_true","italic(r)[score]",0.0335513296369778,0.0320728451401661,0.0349837725618459,0.0335353576766061,4.20691738049292e-05
2,"5xAM + VT + GxE","rg_true","italic(r)[score]",0.0533421965646498,0.0513412520508792,0.0552862813734056,0.0533547623526348,5.65256228680348e-05
3,"5xAM + VT + GxE","rg_true","italic(r)[score]",0.0622223018859463,0.0595243534362764,0.0647069146886523,0.0621939752470347,7.40356117314936e-05
4,"5xAM + VT + GxE","rg_true","italic(r)[score]",0.0654136070581769,0.0619088273359625,0.0686772418758321,0.0653739527844811,0.000100987855379528
5,"5xAM + VT + GxE","rg_true","italic(r)[score]",0.0654127703226995,0.0601694124251516,0.0702957672779118,0.065259308200979,0.000147344884094742
