"seed","gen","scenario","GWAS","xAM","relative_T1R","power"
102,1,"5xAM","Sibship","5-variate",0.952153110047846,"66%"
102,2,"5xAM","Sibship","5-variate",1.07177033492823,"66%"
102,3,"5xAM","Sibship","5-variate",1,"66%"
102,4,"5xAM","Sibship","5-variate",1.07177033492823,"66%"
102,5,"5xAM","Sibship","5-variate",1.12918660287081,"66%"
102,0,"5xAM","Sibship","5-variate",1.003663003663,"50%"
102,1,"5xAM","Sibship","5-variate",0.978021978021978,"50%"
102,2,"5xAM","Sibship","5-variate",0.989010989010988,"50%"
102,3,"5xAM","Sibship","5-variate",0.99084249084249,"50%"
102,4,"5xAM","Sibship","5-variate",1.03296703296703,"50%"
102,5,"5xAM","Sibship","5-variate",1.06043956043956,"50%"
102,0,"5xAM","Sibship","5-variate",0.995880535530382,"39%"
102,1,"5xAM","Sibship","5-variate",1.05458290422245,"39%"
102,2,"5xAM","Sibship","5-variate",1.05149330587024,"39%"
102,3,"5xAM","Sibship","5-variate",0.989701338825952,"39%"
102,4,"5xAM","Sibship","5-variate",1.05355303810505,"39%"
102,5,"5xAM","Sibship","5-variate",0.977342945417096,"39%"
103,0,"2xAM","Sibship","2-variate",0.97069597069597,"50%"
103,1,"2xAM","Sibship","2-variate",0.97069597069597,"50%"
103,2,"2xAM","Sibship","2-variate",1.17216117216117,"50%"
103,3,"2xAM","Sibship","2-variate",0.952380952380952,"50%"
103,4,"2xAM","Sibship","2-variate",0.86080586080586,"50%"
103,5,"2xAM","Sibship","2-variate",1.08058608058608,"50%"
103,0,"2xAM","Sibship","2-variate",0.916580844490216,"39%"
103,1,"2xAM","Sibship","2-variate",1.12255406797116,"39%"
103,2,"2xAM","Sibship","2-variate",0.988671472708548,"39%"
103,3,"2xAM","Sibship","2-variate",0.916580844490216,"39%"
103,4,"2xAM","Sibship","2-variate",1.05046343975283,"39%"
103,5,"2xAM","Sibship","2-variate",1.01956745623069,"39%"
103,0,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
103,1,"2xAM","Sibship","2-variate",1.10047846889952,"66%"
103,2,"2xAM","Sibship","2-variate",0.574162679425838,"66%"
103,3,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
103,4,"2xAM","Sibship","2-variate",1.14832535885167,"66%"
103,5,"2xAM","Sibship","2-variate",1.19617224880383,"66%"
103,0,"5xAM","Sibship","5-variate",0.980861244019138,"66%"
103,1,"5xAM","Sibship","5-variate",1.04784688995215,"66%"
103,2,"5xAM","Sibship","5-variate",1.05263157894737,"66%"
103,3,"5xAM","Sibship","5-variate",1.16746411483254,"66%"
103,4,"5xAM","Sibship","5-variate",1.05741626794258,"66%"
103,5,"5xAM","Sibship","5-variate",0.899521531100478,"66%"
103,0,"5xAM","Sibship","5-variate",1.00915750915751,"50%"
103,1,"5xAM","Sibship","5-variate",0.897435897435898,"50%"
103,2,"5xAM","Sibship","5-variate",1.05860805860806,"50%"
103,3,"5xAM","Sibship","5-variate",0.981684981684982,"50%"
103,4,"5xAM","Sibship","5-variate",0.972527472527472,"50%"
103,5,"5xAM","Sibship","5-variate",0.985347985347986,"50%"
103,0,"5xAM","Sibship","5-variate",0.981462409886714,"39%"
103,1,"5xAM","Sibship","5-variate",0.964984552008238,"39%"
103,2,"5xAM","Sibship","5-variate",0.985581874356334,"39%"
103,3,"5xAM","Sibship","5-variate",0.992790937178166,"39%"
103,4,"5xAM","Sibship","5-variate",1.01647785787848,"39%"
103,5,"5xAM","Sibship","5-variate",1.03810504634398,"39%"
104,0,"2xAM","Sibship","2-variate",0.897435897435898,"50%"
104,1,"2xAM","Sibship","2-variate",1.13553113553114,"50%"
104,2,"2xAM","Sibship","2-variate",0.87912087912088,"50%"
104,3,"2xAM","Sibship","2-variate",0.989010989010988,"50%"
104,4,"2xAM","Sibship","2-variate",1.17216117216117,"50%"
104,5,"2xAM","Sibship","2-variate",0.86080586080586,"50%"
104,0,"2xAM","Sibship","2-variate",0.854788877445932,"39%"
104,1,"2xAM","Sibship","2-variate",1.10195674562307,"39%"
104,2,"2xAM","Sibship","2-variate",0.957775489186406,"39%"
104,3,"2xAM","Sibship","2-variate",0.885684860968074,"39%"
104,4,"2xAM","Sibship","2-variate",1.07106076210093,"39%"
104,5,"2xAM","Sibship","2-variate",1.16374871266735,"39%"
104,0,"2xAM","Sibship","2-variate",0.813397129186602,"66%"
104,1,"2xAM","Sibship","2-variate",1.14832535885167,"66%"
104,2,"2xAM","Sibship","2-variate",0.76555023923445,"66%"
104,3,"2xAM","Sibship","2-variate",0.669856459330144,"66%"
104,4,"2xAM","Sibship","2-variate",0.90909090909091,"66%"
104,5,"2xAM","Sibship","2-variate",0.76555023923445,"66%"
104,0,"5xAM","Sibship","5-variate",0.995215311004784,"66%"
104,1,"5xAM","Sibship","5-variate",1.00956937799043,"66%"
104,2,"5xAM","Sibship","5-variate",0.985645933014354,"66%"
104,3,"5xAM","Sibship","5-variate",1.02392344497608,"66%"
104,4,"5xAM","Sibship","5-variate",0.952153110047846,"66%"
104,5,"5xAM","Sibship","5-variate",0.942583732057416,"66%"
104,0,"5xAM","Sibship","5-variate",0.945054945054946,"50%"
104,1,"5xAM","Sibship","5-variate",0.913919413919414,"50%"
104,2,"5xAM","Sibship","5-variate",0.97985347985348,"50%"
104,3,"5xAM","Sibship","5-variate",1.0952380952381,"50%"
104,4,"5xAM","Sibship","5-variate",1.02747252747253,"50%"
104,5,"5xAM","Sibship","5-variate",1.02564102564103,"50%"
104,0,"5xAM","Sibship","5-variate",1.03604531410917,"39%"
104,1,"5xAM","Sibship","5-variate",1.01132852729145,"39%"
104,2,"5xAM","Sibship","5-variate",1.07106076210093,"39%"
104,3,"5xAM","Sibship","5-variate",0.989701338825952,"39%"
104,4,"5xAM","Sibship","5-variate",0.991761071060762,"39%"
104,5,"5xAM","Sibship","5-variate",0.975283213182286,"39%"
105,0,"2xAM","Sibship","2-variate",1.02564102564103,"50%"
105,1,"2xAM","Sibship","2-variate",0.915750915750916,"50%"
105,2,"2xAM","Sibship","2-variate",1.08058608058608,"50%"
105,3,"2xAM","Sibship","2-variate",0.915750915750916,"50%"
105,4,"2xAM","Sibship","2-variate",0.87912087912088,"50%"
105,5,"2xAM","Sibship","2-variate",0.97069597069597,"50%"
105,0,"2xAM","Sibship","2-variate",1.14315139031926,"39%"
105,1,"2xAM","Sibship","2-variate",1.09165808444902,"39%"
105,2,"2xAM","Sibship","2-variate",1.14315139031926,"39%"
105,3,"2xAM","Sibship","2-variate",0.834191555097838,"39%"
105,4,"2xAM","Sibship","2-variate",0.895983522142122,"39%"
105,5,"2xAM","Sibship","2-variate",0.988671472708548,"39%"
105,0,"2xAM","Sibship","2-variate",0.76555023923445,"66%"
105,1,"2xAM","Sibship","2-variate",0.90909090909091,"66%"
105,2,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
105,3,"2xAM","Sibship","2-variate",0.861244019138756,"66%"
105,4,"2xAM","Sibship","2-variate",1.10047846889952,"66%"
105,5,"2xAM","Sibship","2-variate",1.10047846889952,"66%"
105,0,"5xAM","Sibship","5-variate",1.13875598086124,"66%"
105,1,"5xAM","Sibship","5-variate",1.08133971291866,"66%"
105,2,"5xAM","Sibship","5-variate",1.10526315789474,"66%"
105,3,"5xAM","Sibship","5-variate",1.07177033492823,"66%"
105,4,"5xAM","Sibship","5-variate",0.923444976076556,"66%"
105,5,"5xAM","Sibship","5-variate",1.01435406698565,"66%"
105,0,"5xAM","Sibship","5-variate",0.97069597069597,"50%"
105,1,"5xAM","Sibship","5-variate",1.01648351648352,"50%"
105,2,"5xAM","Sibship","5-variate",1.06776556776557,"50%"
105,3,"5xAM","Sibship","5-variate",1.03663003663004,"50%"
105,4,"5xAM","Sibship","5-variate",0.99084249084249,"50%"
105,5,"5xAM","Sibship","5-variate",1.01465201465201,"50%"
105,0,"5xAM","Sibship","5-variate",0.985581874356334,"39%"
105,1,"5xAM","Sibship","5-variate",1.01750772399588,"39%"
105,2,"5xAM","Sibship","5-variate",1.02883625128733,"39%"
105,3,"5xAM","Sibship","5-variate",1.02059732234809,"39%"
105,4,"5xAM","Sibship","5-variate",0.996910401647786,"39%"
105,5,"5xAM","Sibship","5-variate",1.0226570545829,"39%"
106,0,"2xAM","Sibship","2-variate",1.15384615384615,"50%"
106,1,"2xAM","Sibship","2-variate",1.00732600732601,"50%"
106,2,"2xAM","Sibship","2-variate",0.824175824175824,"50%"
106,3,"2xAM","Sibship","2-variate",1.11721611721612,"50%"
106,4,"2xAM","Sibship","2-variate",0.86080586080586,"50%"
106,5,"2xAM","Sibship","2-variate",0.805860805860806,"50%"
106,0,"2xAM","Sibship","2-variate",1.05046343975283,"39%"
106,1,"2xAM","Sibship","2-variate",1.06076210092688,"39%"
106,2,"2xAM","Sibship","2-variate",0.875386199794026,"39%"
106,3,"2xAM","Sibship","2-variate",1.06076210092688,"39%"
106,4,"2xAM","Sibship","2-variate",1.09165808444902,"39%"
106,5,"2xAM","Sibship","2-variate",0.968074150360454,"39%"
106,0,"2xAM","Sibship","2-variate",1.38755980861244,"66%"
106,1,"2xAM","Sibship","2-variate",0.90909090909091,"66%"
106,2,"2xAM","Sibship","2-variate",1.05263157894737,"66%"
106,3,"2xAM","Sibship","2-variate",0.861244019138756,"66%"
106,4,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
106,5,"2xAM","Sibship","2-variate",1.00478468899522,"66%"
106,0,"5xAM","Sibship","5-variate",1.0622009569378,"66%"
106,1,"5xAM","Sibship","5-variate",0.885167464114832,"66%"
106,2,"5xAM","Sibship","5-variate",0.971291866028708,"66%"
106,3,"5xAM","Sibship","5-variate",1.02870813397129,"66%"
106,4,"5xAM","Sibship","5-variate",0.971291866028708,"66%"
106,5,"5xAM","Sibship","5-variate",1.00956937799043,"66%"
106,0,"5xAM","Sibship","5-variate",0.965201465201466,"50%"
106,1,"5xAM","Sibship","5-variate",1.003663003663,"50%"
106,2,"5xAM","Sibship","5-variate",1.05128205128205,"50%"
106,3,"5xAM","Sibship","5-variate",1.05128205128205,"50%"
106,4,"5xAM","Sibship","5-variate",1.05128205128205,"50%"
106,5,"5xAM","Sibship","5-variate",1.02014652014652,"50%"
106,0,"5xAM","Sibship","5-variate",0.994850669412976,"39%"
106,1,"5xAM","Sibship","5-variate",1.02883625128733,"39%"
106,2,"5xAM","Sibship","5-variate",0.996910401647786,"39%"
106,3,"5xAM","Sibship","5-variate",1.01956745623069,"39%"
106,4,"5xAM","Sibship","5-variate",0.992790937178166,"39%"
106,5,"5xAM","Sibship","5-variate",0.977342945417096,"39%"
107,0,"2xAM","Sibship","2-variate",1.08058608058608,"50%"
107,1,"2xAM","Sibship","2-variate",0.805860805860806,"50%"
107,2,"2xAM","Sibship","2-variate",1.15384615384615,"50%"
107,3,"2xAM","Sibship","2-variate",0.915750915750916,"50%"
107,4,"2xAM","Sibship","2-variate",0.732600732600732,"50%"
107,5,"2xAM","Sibship","2-variate",1.0989010989011,"50%"
107,0,"2xAM","Sibship","2-variate",0.772399588053554,"39%"
107,1,"2xAM","Sibship","2-variate",1.10195674562307,"39%"
107,2,"2xAM","Sibship","2-variate",1.14315139031926,"39%"
107,3,"2xAM","Sibship","2-variate",0.988671472708548,"39%"
107,4,"2xAM","Sibship","2-variate",0.844490216271884,"39%"
107,5,"2xAM","Sibship","2-variate",1.14315139031926,"39%"
107,0,"2xAM","Sibship","2-variate",0.90909090909091,"66%"
107,1,"2xAM","Sibship","2-variate",1.05263157894737,"66%"
107,2,"2xAM","Sibship","2-variate",1.43540669856459,"66%"
107,3,"2xAM","Sibship","2-variate",1.24401913875598,"66%"
107,4,"2xAM","Sibship","2-variate",0.574162679425838,"66%"
107,5,"2xAM","Sibship","2-variate",1.10047846889952,"66%"
107,0,"5xAM","Sibship","5-variate",0.92822966507177,"66%"
107,1,"5xAM","Sibship","5-variate",1.00956937799043,"66%"
107,2,"5xAM","Sibship","5-variate",1,"66%"
107,3,"5xAM","Sibship","5-variate",0.880382775119618,"66%"
107,4,"5xAM","Sibship","5-variate",1.00956937799043,"66%"
107,5,"5xAM","Sibship","5-variate",0.875598086124402,"66%"
107,0,"5xAM","Sibship","5-variate",0.928571428571428,"50%"
107,1,"5xAM","Sibship","5-variate",1.04578754578755,"50%"
107,2,"5xAM","Sibship","5-variate",1.07142857142857,"50%"
107,3,"5xAM","Sibship","5-variate",1.03113553113553,"50%"
107,4,"5xAM","Sibship","5-variate",1.04212454212454,"50%"
