"seed","gen","args_kmate","args_rmate","args_theta","args_phi","scenario","variable","value","GWAS"
10,1,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.006476189270884,"Sibship"
10,2,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.00157485587748418,"Sibship"
10,3,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.00544439336386938,"Sibship"
10,4,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.00614422026586113,"Sibship"
10,5,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.014236890895935,"Sibship"
10,0,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.0101730458677011,"Sibship"
10,1,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.00916822412538627,"Sibship"
10,2,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.000690576749880994,"Sibship"
10,3,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.00064919852701251,"Sibship"
10,4,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",-0.00155682720387992,"Sibship"
10,5,5,0.2,0,0,"5xAM","rbeta_hat_sgwas",0.00437102176317697,"Sibship"
10,0,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.00495216923464886,"Sibship"
10,1,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.00838676429472341,"Sibship"
10,2,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.0088499734872567,"Sibship"
10,3,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.00218003440372469,"Sibship"
10,4,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.00949857216011906,"Sibship"
10,5,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.0175581806659304,"Sibship"
10,0,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.0111285101947056,"Sibship"
10,1,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.000874528140001238,"Sibship"
10,2,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.00483686580676419,"Sibship"
10,3,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.0157422635512112,"Sibship"
10,4,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.00861115013277785,"Sibship"
10,5,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.00438908426460185,"Sibship"
10,0,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.00683652403765033,"Sibship"
10,1,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.00883758482714463,"Sibship"
10,2,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",-0.00155756238543056,"Sibship"
10,3,5,0.2,0,0.05,"5xAM + GxE","rbeta_hat_sgwas",0.0027131833209897,"Sibship"
