"beta","T1E","N","m_causal","kpheno","gen","alpha","beta_quantile","N_label"
0.020686390912585,0.0704856571055956,1600000,4000,5,5,5e-08,0.94575,"1,600,000"
0.0207286849856436,0.071590248139063,1600000,4000,5,5,5e-08,0.946,"1,600,000"
0.0207705478526915,0.0726966076877827,1600000,4000,5,5,5e-08,0.94625,"1,600,000"
-0.0207749186303333,0.0728128701048794,1600000,4000,5,5,5e-08,0.9465,"1,600,000"
0.0207889214882803,0.073186303903172,1600000,4000,5,5,5e-08,0.94675,"1,600,000"
-0.0208104627602098,0.0737636335832824,1600000,4000,5,5,5e-08,0.947,"1,600,000"
-0.0208331703889269,0.0743759847293939,1600000,4000,5,5,5e-08,0.94725,"1,600,000"
-0.0208582050183951,0.0750555773060169,1600000,4000,5,5,5e-08,0.9475,"1,600,000"
0.0208599173140404,0.0751022319062323,1600000,4000,5,5,5e-08,0.94775,"1,600,000"
0.0208714095842926,0.0754159320953522,1600000,4000,5,5,5e-08,0.948,"1,600,000"
-0.0208754146999003,0.0755254925655936,1600000,4000,5,5,5e-08,0.94825,"1,600,000"
0.020893723609758,0.0760278801103026,1600000,4000,5,5,5e-08,0.9485,"1,600,000"
0.0209029565262959,0.0762821898447847,1600000,4000,5,5,5e-08,0.94875,"1,600,000"
0.0209168254546431,0.0766654087506644,1600000,4000,5,5,5e-08,0.949,"1,600,000"
0.0209232015403198,0.0768420798585565,1600000,4000,5,5,5e-08,0.94925,"1,600,000"
-0.0209769007031318,0.0783422973243022,1600000,4000,5,5,5e-08,0.9495,"1,600,000"
0.0209822988969548,0.0784943290722596,1600000,4000,5,5,5e-08,0.94975,"1,600,000"
-0.0209884535252753,0.0786679373495955,1600000,4000,5,5,5e-08,0.95,"1,600,000"
-0.0210037447173739,0.0791005269814976,1600000,4000,5,5,5e-08,0.95025,"1,600,000"
0.021012932229599,0.079361307661084,1600000,4000,5,5,5e-08,0.9505,"1,600,000"
-0.0210339791043457,0.0799611596222676,1600000,4000,5,5,5e-08,0.95075,"1,600,000"
0.0210381544814611,0.080080567494566,1600000,4000,5,5,5e-08,0.951,"1,600,000"
-0.0210639449878371,0.0808211165534025,1600000,4000,5,5,5e-08,0.95125,"1,600,000"
0.0211012277691228,0.0819007781294917,1600000,4000,5,5,5e-08,0.9515,"1,600,000"
0.021116662256786,0.0823509086530639,1600000,4000,5,5,5e-08,0.95175,"1,600,000"
0.0211174999562869,0.082375392462104,1600000,4000,5,5,5e-08,0.952,"1,600,000"
-0.021140893717261,0.0830613477708115,1600000,4000,5,5,5e-08,0.95225,"1,600,000"
-0.0211491341790533,0.083303996112452,1600000,4000,5,5,5e-08,0.9525,"1,600,000"
0.0211703998320666,0.0839326451901606,1600000,4000,5,5,5e-08,0.95275,"1,600,000"
