"gen","seed","scenario","variable","var_label","value","intercept"
3,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.619294691085815,0.5
4,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.646535933017731,0.5
5,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.662008762359619,0.5
0,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.490738141536713,0.5
1,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.530789458751678,0.5
2,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.572903037071228,0.5
3,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.600795924663544,0.5
4,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.639307940006256,0.5
5,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.658954048156738,0.5
0,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.505729854106903,0.5
1,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.547085213661194,0.5
2,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.590590071678162,0.5
3,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.619802582263947,0.5
4,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.636931538581848,0.5
5,100,"5xAM + GxE","h2_he","hat(italic(h))^2",0.664322638511658,0.5
0,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.510776102542877,0.5
1,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.611879134178162,0.5
2,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.68691474199295,0.5
3,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.724751436710358,0.5
4,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.746520853042603,0.5
5,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.755334317684174,0.5
0,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.487626814842224,0.5
1,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.594320273399353,0.5
2,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.669354605674744,0.5
3,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.713493597507477,0.5
4,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.729451215267181,0.5
5,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.738936018943787,0.5
0,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.502150732278824,0.5
1,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.610747969150543,0.5
2,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.684615504741669,0.5
3,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.726032245159149,0.5
4,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.756461358070374,0.5
5,100,"5xAM + VT","h2_he","hat(italic(h))^2",0.771421205997467,0.5
0,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.507504791021347,0.5
1,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.604315626621246,0.5
2,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.677153408527374,0.5
3,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.706927347183228,0.5
4,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.720696473121643,0.5
5,100,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.690738546848297,0.5
