"seed","gen","scenario","variable","value","xAM","args_kmate","power"
103,2,"2xAM","h2_true",0.512378498061119,"2-variate xAM",2,"66%"
103,3,"2xAM","h2_true",0.522698705426038,"2-variate xAM",2,"66%"
103,4,"2xAM","h2_true",0.52235530594891,"2-variate xAM",2,"66%"
103,5,"2xAM","h2_true",0.526287053796434,"2-variate xAM",2,"66%"
103,0,"5xAM","h2_true",0.511548683402312,"5-variate xAM",5,"66%"
103,1,"5xAM","h2_true",0.524040634811982,"5-variate xAM",5,"66%"
103,2,"5xAM","h2_true",0.52961612801518,"5-variate xAM",5,"66%"
103,3,"5xAM","h2_true",0.537610608734643,"5-variate xAM",5,"66%"
103,4,"5xAM","h2_true",0.544823683090597,"5-variate xAM",5,"66%"
103,5,"5xAM","h2_true",0.544137282455874,"5-variate xAM",5,"66%"
103,0,"5xAM","h2_true",0.498828221592218,"5-variate xAM",5,"50%"
103,1,"5xAM","h2_true",0.5108341168051,"5-variate xAM",5,"50%"
103,2,"5xAM","h2_true",0.52170381980229,"5-variate xAM",5,"50%"
103,3,"5xAM","h2_true",0.528091711794806,"5-variate xAM",5,"50%"
103,4,"5xAM","h2_true",0.533608892007353,"5-variate xAM",5,"50%"
103,5,"5xAM","h2_true",0.532965992962084,"5-variate xAM",5,"50%"
103,0,"5xAM","h2_true",0.490155130583639,"5-variate xAM",5,"39%"
103,1,"5xAM","h2_true",0.502316088996078,"5-variate xAM",5,"39%"
103,2,"5xAM","h2_true",0.509683358149415,"5-variate xAM",5,"39%"
103,3,"5xAM","h2_true",0.517228146885939,"5-variate xAM",5,"39%"
103,4,"5xAM","h2_true",0.522052430740246,"5-variate xAM",5,"39%"
103,5,"5xAM","h2_true",0.520213596319016,"5-variate xAM",5,"39%"
104,0,"2xAM","h2_true",0.495312902964183,"2-variate xAM",2,"50%"
104,1,"2xAM","h2_true",0.509942437433839,"2-variate xAM",2,"50%"
104,2,"2xAM","h2_true",0.514126596458508,"2-variate xAM",2,"50%"
104,3,"2xAM","h2_true",0.520766289187793,"2-variate xAM",2,"50%"
104,4,"2xAM","h2_true",0.519210557403874,"2-variate xAM",2,"50%"
104,5,"2xAM","h2_true",0.522630908913114,"2-variate xAM",2,"50%"
104,0,"2xAM","h2_true",0.500593147356217,"2-variate xAM",2,"39%"
104,1,"2xAM","h2_true",0.514657529580848,"2-variate xAM",2,"39%"
104,2,"2xAM","h2_true",0.520252668426973,"2-variate xAM",2,"39%"
104,3,"2xAM","h2_true",0.523396404247414,"2-variate xAM",2,"39%"
104,4,"2xAM","h2_true",0.522874579401065,"2-variate xAM",2,"39%"
104,5,"2xAM","h2_true",0.514008031024427,"2-variate xAM",2,"39%"
104,0,"2xAM","h2_true",0.492396207549493,"2-variate xAM",2,"66%"
104,1,"2xAM","h2_true",0.504342419933191,"2-variate xAM",2,"66%"
104,2,"2xAM","h2_true",0.512925555296655,"2-variate xAM",2,"66%"
104,3,"2xAM","h2_true",0.515731530300364,"2-variate xAM",2,"66%"
104,4,"2xAM","h2_true",0.513638297637886,"2-variate xAM",2,"66%"
104,5,"2xAM","h2_true",0.515851688266028,"2-variate xAM",2,"66%"
104,0,"5xAM","h2_true",0.479664234484702,"5-variate xAM",5,"66%"
104,1,"5xAM","h2_true",0.491771599450779,"5-variate xAM",5,"66%"
104,2,"5xAM","h2_true",0.499729881767621,"5-variate xAM",5,"66%"
104,3,"5xAM","h2_true",0.506435545326535,"5-variate xAM",5,"66%"
104,4,"5xAM","h2_true",0.509589707364913,"5-variate xAM",5,"66%"
104,5,"5xAM","h2_true",0.509932147695551,"5-variate xAM",5,"66%"
104,0,"5xAM","h2_true",0.51405302454164,"5-variate xAM",5,"50%"
104,1,"5xAM","h2_true",0.525380117707401,"5-variate xAM",5,"50%"
104,2,"5xAM","h2_true",0.534409188277148,"5-variate xAM",5,"50%"
