"seed","gen","scenario","variable","value","xAM","args_kmate","power"
101,3,"5xAM","rg_true",0.104604400987583,"5-variate xAM",5,"66%"
101,4,"5xAM","rg_true",0.122759880180216,"5-variate xAM",5,"66%"
101,5,"5xAM","rg_true",0.136212559757519,"5-variate xAM",5,"66%"
101,0,"5xAM","rg_true",0.000298866265904273,"5-variate xAM",5,"50%"
101,1,"5xAM","rg_true",0.0483452655549995,"5-variate xAM",5,"50%"
101,2,"5xAM","rg_true",0.0804432561395406,"5-variate xAM",5,"50%"
101,3,"5xAM","rg_true",0.105293349217458,"5-variate xAM",5,"50%"
101,4,"5xAM","rg_true",0.119144103147102,"5-variate xAM",5,"50%"
101,5,"5xAM","rg_true",0.128928354355118,"5-variate xAM",5,"50%"
101,0,"5xAM","rg_true",0.000371521356563348,"5-variate xAM",5,"39%"
101,1,"5xAM","rg_true",0.0465261087078234,"5-variate xAM",5,"39%"
101,2,"5xAM","rg_true",0.0795099184451767,"5-variate xAM",5,"39%"
101,3,"5xAM","rg_true",0.0970117804315854,"5-variate xAM",5,"39%"
101,4,"5xAM","rg_true",0.117150964674873,"5-variate xAM",5,"39%"
101,5,"5xAM","rg_true",0.126908945035016,"5-variate xAM",5,"39%"
102,0,"2xAM","rg_true",-0.000919198727216719,"2-variate xAM",2,"50%"
102,1,"2xAM","rg_true",0.047783297511884,"2-variate xAM",2,"50%"
102,2,"2xAM","rg_true",0.0690276115692484,"2-variate xAM",2,"50%"
102,3,"2xAM","rg_true",0.0832991664240645,"2-variate xAM",2,"50%"
102,4,"2xAM","rg_true",0.0923463200823074,"2-variate xAM",2,"50%"
102,5,"2xAM","rg_true",0.119038836101983,"2-variate xAM",2,"50%"
102,0,"2xAM","rg_true",-0.00105333143051416,"2-variate xAM",2,"39%"
102,1,"2xAM","rg_true",0.0465854734491692,"2-variate xAM",2,"39%"
102,2,"2xAM","rg_true",0.0750307310380043,"2-variate xAM",2,"39%"
102,3,"2xAM","rg_true",0.0927339826171033,"2-variate xAM",2,"39%"
102,4,"2xAM","rg_true",0.110790436055647,"2-variate xAM",2,"39%"
