"m_causal","gen","kpheno","alpha","N","pred_t1e","kpheno_label","m_causal_label","relative_t1e"
2000,1,5,5e-08,50000,7.96610002498088e-08,"5",2000,1.59322000499618
2000,1,5,5e-08,1e+05,1.19505069498038e-07,"5",2000,2.39010138996076
2000,1,5,5e-08,2e+05,2.71215936008373e-07,"5",2000,5.42431872016746
2000,1,5,5e-08,4e+05,9.1506703579608e-07,"5",2000,18.3013407159216
2000,1,5,5e-08,8e+05,5.86686960943261e-06,"5",2000,117.337392188652
2000,1,5,5e-08,1600000,7.25924602916537e-05,"5",2000,1451.84920583307
2000,1,5,5e-08,3200000,0.00137905409624753,"5",2000,27581.0819249507
2000,1,5,5e-08,6400000,0.0128837050665931,"5",2000,257674.101331862
4000,1,5,5e-08,50000,6.33369767731873e-08,"5",4000,1.26673953546375
4000,1,5,5e-08,1e+05,7.9217776426499e-08,"5",4000,1.58435552852998
4000,1,5,5e-08,2e+05,1.18803436743031e-07,"5",4000,2.37606873486063
4000,1,5,5e-08,4e+05,2.67388097542509e-07,"5",4000,5.34776195085018
4000,1,5,5e-08,8e+05,9.53346232413277e-07,"5",4000,19.0669246482655
4000,1,5,5e-08,1600000,6.81278085809306e-06,"5",4000,136.255617161861
4000,1,5,5e-08,3200000,0.000101814315088333,"5",4000,2036.28630176667
4000,1,5,5e-08,6400000,0.00141387226535273,"5",4000,28277.4453070546
8000,1,5,5e-08,50000,5.62239567988287e-08,"5",8000,1.12447913597657
8000,1,5,5e-08,1e+05,6.17590802438062e-08,"5",8000,1.23518160487612
8000,1,5,5e-08,2e+05,7.97755589055371e-08,"5",8000,1.59551117811074
8000,1,5,5e-08,4e+05,1.28131645055374e-07,"5",8000,2.56263290110748
8000,1,5,5e-08,8e+05,2.79608624375094e-07,"5",8000,5.59217248750188
8000,1,5,5e-08,1600000,8.24296762345633e-07,"5",8000,16.4859352469127
8000,1,5,5e-08,3200000,7.62549731733564e-06,"5",8000,152.509946346713
8000,1,5,5e-08,6400000,0.000107427821524612,"5",8000,2148.55643049223
16000,1,5,5e-08,50000,5.3044649540146e-08,"5",16000,1.06089299080292
16000,1,5,5e-08,1e+05,5.62971643641164e-08,"5",16000,1.12594328728233
16000,1,5,5e-08,2e+05,6.26781412645938e-08,"5",16000,1.25356282529188
16000,1,5,5e-08,4e+05,7.87010318352155e-08,"5",16000,1.57402063670431
16000,1,5,5e-08,8e+05,1.20443487357347e-07,"5",16000,2.40886974714694
16000,1,5,5e-08,1600000,2.76497457702307e-07,"5",16000,5.52994915404614
16000,1,5,5e-08,3200000,8.73968095174871e-07,"5",16000,17.4793619034974
16000,1,5,5e-08,6400000,6.68535341206739e-06,"5",16000,133.707068241348
1000,3,2,5e-08,50000,8.76644539143268e-07,"2",1000,17.5328907828654
1000,3,2,5e-08,1e+05,4.75316433641759e-06,"2",1000,95.0632867283519
1000,3,2,5e-08,2e+05,0.000103596638059356,"2",1000,2071.93276118713
1000,3,2,5e-08,4e+05,0.00163620491208316,"2",1000,32724.0982416632
1000,3,2,5e-08,8e+05,0.0136535485947731,"2",1000,273070.971895462
1000,3,2,5e-08,1600000,0.0661579338798866,"2",1000,1323158.67759773
1000,3,2,5e-08,3200000,0.18299977366744,"2",1000,3659995.47334881
1000,3,2,5e-08,6400000,0.327146982433049,"2",1000,6542939.64866099
2000,3,2,5e-08,50000,2.58241950278237e-07,"2",2000,5.16483900556475
2000,3,2,5e-08,1e+05,8.90025220376234e-07,"2",2000,17.8005044075247
2000,3,2,5e-08,2e+05,7.64750426106453e-06,"2",2000,152.950085221291
2000,3,2,5e-08,4e+05,9.42845348228751e-05,"2",2000,1885.6906964575
2000,3,2,5e-08,8e+05,0.00122621454424546,"2",2000,24524.2908849091
2000,3,2,5e-08,1600000,0.0123905606943645,"2",2000,247811.213887289
2000,3,2,5e-08,3200000,0.0611504691772968,"2",2000,1223009.38354594
2000,3,2,5e-08,6400000,0.177887564144845,"2",2000,3557751.2828969
4000,3,2,5e-08,50000,1.21042000987503e-07,"2",4000,2.42084001975007
4000,3,2,5e-08,1e+05,2.62879727496057e-07,"2",4000,5.25759454992114
4000,3,2,5e-08,2e+05,8.30988332684468e-07,"2",4000,16.6197666536894
4000,3,2,5e-08,4e+05,8.06252883273745e-06,"2",4000,161.250576654749
4000,3,2,5e-08,8e+05,6.7581667102413e-05,"2",4000,1351.63334204826
4000,3,2,5e-08,1600000,0.00133949796961522,"2",4000,26789.9593923045
4000,3,2,5e-08,3200000,0.0121603348555214,"2",4000,243206.697110428
4000,3,2,5e-08,6400000,0.0639232934185353,"2",4000,1278465.86837071
8000,3,2,5e-08,50000,7.8076832261853e-08,"2",8000,1.56153664523706
8000,3,2,5e-08,1e+05,1.20428603416767e-07,"2",8000,2.40857206833534
8000,3,2,5e-08,2e+05,2.58138219664028e-07,"2",8000,5.16276439328056
8000,3,2,5e-08,4e+05,8.54530178264701e-07,"2",8000,17.090603565294
8000,3,2,5e-08,8e+05,6.65873795609701e-06,"2",8000,133.17475912194
8000,3,2,5e-08,1600000,9.65727216030802e-05,"2",8000,1931.4544320616
8000,3,2,5e-08,3200000,0.00136787089303263,"2",8000,27357.4178606526
8000,3,2,5e-08,6400000,0.0134013891590511,"2",8000,268027.783181022
16000,3,2,5e-08,50000,6.28190758723557e-08,"2",16000,1.25638151744711
16000,3,2,5e-08,1e+05,7.66098919152691e-08,"2",16000,1.53219783830538
16000,3,2,5e-08,2e+05,1.22698569026469e-07,"2",16000,2.45397138052939
16000,3,2,5e-08,4e+05,2.73609912521733e-07,"2",16000,5.47219825043466
16000,3,2,5e-08,8e+05,1.1833701797721e-06,"2",16000,23.6674035954421
16000,3,2,5e-08,1600000,7.26657641800821e-06,"2",16000,145.331528360164
16000,3,2,5e-08,3200000,9.0653736280877e-05,"2",16000,1813.07472561754
16000,3,2,5e-08,6400000,0.00133246435578471,"2",16000,26649.2871156942
