"","scenario","gen","args_n","args_m","args_subsample","args_kphen","args_kmate","args_rmate","args_theta","args_phi","args_gamma","args_h2","args_env","GWAS","alpha","FalsePositive","TruePositive","params"
"92","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",0.889139705,0.71025,0.18871875,"2xAM"
"93","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Population",1,0.8,0.2,"2xAM"
"94","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",5e-08,0,0.00071875,"2xAM"
"95","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",8.89139705019461e-08,0,0.00084375,"2xAM"
"96","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",1.58113883008419e-07,0,0.001125,"2xAM"
"97","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",2.81170662595175e-07,0,0.00121875,"2xAM"
"98","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",5e-07,0,0.0014375,"2xAM"
"99","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",8.89139705019461e-07,0,0.0016875,"2xAM"
"100","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",1.58113883008419e-06,0,0.002,"2xAM"
"101","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",2.81170662595175e-06,0,0.00240625,"2xAM"
"102","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",5e-06,0,0.0028125,"2xAM"
"103","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",8.89139705019461e-06,0,0.00328125,"2xAM"
"104","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",1.58113883008419e-05,0,0.0039375,"2xAM"
"105","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",2.81170662595175e-05,3.125e-05,0.0048125,"2xAM"
"106","0_2_0.0_0.0_False_8000",0,512000,8000,8000,5,2,0.2,0,0,0,0.5,"False","Within-Sib",5e-05,6.25e-05,0.00590625,"2xAM"
