"seed","dx1","dx2","rmate","vg1","vg2"
1,"ADHD","ANX",0.156768189521919,0.610823279048111,0.588904790857132
1,"ALC","ADHD",0.148045798089039,0.435484705371046,0.610823279048111
1,"SCZ","ADHD",0.102212576308083,0.603717583103662,0.610823279048111
1,"BIP","ADHD",0.118861137563067,0.500659073703305,0.610823279048111
1,"MDD","ADHD",0.173807246195139,0.236731755526191,0.610823279048111
1,"ANX","ADHD",0.156768189521919,0.588904790857132,0.610823279048111
1,"ADHD","ADHD",0.3929196758212,0.610823279048111,0.610823279048111
2,"ALC","ALC",0.299130678411181,0.468287515512793,0.468287515512793
2,"SCZ","ALC",0.163186941649207,0.563153314722982,0.468287515512793
2,"BIP","ALC",0.107388578064044,0.616823755958951,0.468287515512793
2,"MDD","ALC",0.112165169315976,0.330910507092924,0.468287515512793
2,"ANX","ALC",0.0823438961873103,0.597255313141452,0.468287515512793
2,"ADHD","ALC",0.152843044588465,0.89973499138675,0.468287515512793
2,"ALC","SCZ",0.163186941649207,0.468287515512793,0.563153314722982
2,"SCZ","SCZ",0.248074225106457,0.563153314722982,0.563153314722982
2,"BIP","SCZ",0.134281545566516,0.616823755958951,0.563153314722982
2,"MDD","SCZ",0.151109309933066,0.330910507092924,0.563153314722982
2,"ANX","SCZ",0.165752570152549,0.597255313141452,0.563153314722982
2,"ADHD","SCZ",0.0818842827600614,0.89973499138675,0.563153314722982
2,"ALC","BIP",0.107388578064044,0.468287515512793,0.616823755958951
2,"SCZ","BIP",0.134281545566516,0.563153314722982,0.616823755958951
2,"BIP","BIP",0.11110619981798,0.616823755958951,0.616823755958951
2,"MDD","BIP",0.0941942576205531,0.330910507092924,0.616823755958951
2,"ANX","BIP",0.0558657722700787,0.597255313141452,0.616823755958951
2,"ADHD","BIP",0.118983146513909,0.89973499138675,0.616823755958951
2,"ALC","MDD",0.112165169315976,0.468287515512793,0.330910507092924
2,"SCZ","MDD",0.151109309933066,0.563153314722982,0.330910507092924
2,"BIP","MDD",0.0941942576205531,0.616823755958951,0.330910507092924
2,"MDD","MDD",0.170605625345453,0.330910507092924,0.330910507092924
2,"ANX","MDD",0.181992813816548,0.597255313141452,0.330910507092924
2,"ADHD","MDD",0.148001853383474,0.89973499138675,0.330910507092924
2,"ALC","ANX",0.0823438961873103,0.468287515512793,0.597255313141452
2,"SCZ","ANX",0.165752570152549,0.563153314722982,0.597255313141452
2,"BIP","ANX",0.0558657722700787,0.616823755958951,0.597255313141452
2,"MDD","ANX",0.181992813816548,0.330910507092924,0.597255313141452
2,"ANX","ANX",0.349635101914732,0.597255313141452,0.597255313141452
2,"ADHD","ANX",0.130360442987075,0.89973499138675,0.597255313141452
2,"ALC","ADHD",0.152843044588465,0.468287515512793,0.89973499138675
2,"SCZ","ADHD",0.0818842827600614,0.563153314722982,0.89973499138675
2,"BIP","ADHD",0.118983146513909,0.616823755958951,0.89973499138675
2,"MDD","ADHD",0.148001853383474,0.330910507092924,0.89973499138675
2,"ANX","ADHD",0.130360442987075,0.597255313141452,0.89973499138675
2,"ADHD","ADHD",0.315481043544862,0.89973499138675,0.89973499138675
3,"ALC","ALC",0.294911631926425,0.357076549774808,0.357076549774808
3,"SCZ","ALC",0.151226448025739,0.590974984411101,0.357076549774808
3,"BIP","ALC",0.104090315470899,0.619228491957685,0.357076549774808
3,"MDD","ALC",0.121694355258489,0.343394261555152,0.357076549774808
3,"ANX","ALC",0.0879997855392935,0.418912839924323,0.357076549774808
3,"ADHD","ALC",0.130233930647181,0.773424682586458,0.357076549774808
3,"ALC","SCZ",0.151226448025739,0.357076549774808,0.590974984411101
3,"SCZ","SCZ",0.311276122991214,0.590974984411101,0.590974984411101
3,"BIP","SCZ",0.147619454052831,0.619228491957685,0.590974984411101
3,"MDD","SCZ",0.160584555727904,0.343394261555152,0.590974984411101
3,"ANX","SCZ",0.16446503611702,0.418912839924323,0.590974984411101
3,"ADHD","SCZ",0.115784060041408,0.773424682586458,0.590974984411101
3,"ALC","BIP",0.104090315470899,0.357076549774808,0.619228491957685
3,"SCZ","BIP",0.147619454052831,0.590974984411101,0.619228491957685
3,"BIP","BIP",0.109304577264026,0.619228491957685,0.619228491957685
3,"MDD","BIP",0.0985584290175896,0.343394261555152,0.619228491957685
3,"ANX","BIP",0.0445826941634635,0.418912839924323,0.619228491957685
3,"ADHD","BIP",0.0772619512604463,0.773424682586458,0.619228491957685
3,"ALC","MDD",0.121694355258489,0.357076549774808,0.343394261555152
3,"SCZ","MDD",0.160584555727904,0.590974984411101,0.343394261555152
3,"BIP","MDD",0.0985584290175896,0.619228491957685,0.343394261555152
3,"MDD","MDD",0.17308560060945,0.343394261555152,0.343394261555152
3,"ANX","MDD",0.191115187316316,0.418912839924323,0.343394261555152
3,"ADHD","MDD",0.153265430272435,0.773424682586458,0.343394261555152
3,"ALC","ANX",0.0879997855392935,0.357076549774808,0.418912839924323
3,"SCZ","ANX",0.16446503611702,0.590974984411101,0.418912839924323
3,"BIP","ANX",0.0445826941634635,0.619228491957685,0.418912839924323
3,"MDD","ANX",0.191115187316316,0.343394261555152,0.418912839924323
3,"ANX","ANX",0.34633840513183,0.418912839924323,0.418912839924323
3,"ADHD","ANX",0.124379484777375,0.773424682586458,0.418912839924323
3,"ALC","ADHD",0.130233930647181,0.357076549774808,0.773424682586458
3,"SCZ","ADHD",0.115784060041408,0.590974984411101,0.773424682586458
3,"BIP","ADHD",0.0772619512604463,0.619228491957685,0.773424682586458
3,"MDD","ADHD",0.153265430272435,0.343394261555152,0.773424682586458
3,"ANX","ADHD",0.124379484777375,0.418912839924323,0.773424682586458
3,"ADHD","ADHD",0.378245056553534,0.773424682586458,0.773424682586458
4,"ALC","ALC",0.291872758760073,0.386520049317078,0.386520049317078
4,"SCZ","ALC",0.149170260070172,0.588743485396908,0.386520049317078
4,"BIP","ALC",0.113582816724465,0.63289171701936,0.386520049317078
4,"MDD","ALC",0.102167729837503,0.273108002443379,0.386520049317078
4,"ANX","ALC",0.0772493514152028,0.531504411554717,0.386520049317078
4,"ADHD","ALC",0.160968452410119,0.598256849755449,0.386520049317078
4,"ALC","SCZ",0.149170260070172,0.386520049317078,0.588743485396908
4,"SCZ","SCZ",0.267655094666306,0.588743485396908,0.588743485396908
4,"BIP","SCZ",0.159834058559794,0.63289171701936,0.588743485396908
4,"MDD","SCZ",0.159274261167001,0.273108002443379,0.588743485396908
4,"ANX","SCZ",0.175398896772267,0.531504411554717,0.588743485396908
4,"ADHD","SCZ",0.175799161732493,0.598256849755449,0.588743485396908
4,"ALC","BIP",0.113582816724465,0.386520049317078,0.63289171701936
4,"SCZ","BIP",0.159834058559794,0.588743485396908,0.63289171701936
4,"BIP","BIP",0.107163611194725,0.63289171701936,0.63289171701936
4,"MDD","BIP",0.106817346791335,0.273108002443379,0.63289171701936
4,"ANX","BIP",0.0405783788825768,0.531504411554717,0.63289171701936
