"","Trait1","Trait2","r.xmate.yz","r.xmate.yy","r.xmate.zz","r.wmate.yz","r.xmate.yz.maxent","r.xmate.yz.maxentdiff","rse.xmate.yz","rse.xmate.yy","rse.xmate.zz","rse.wmate.yz","rse.xmate.yz.maxent","rse.xmate.yz.maxentdiff","p.xmate.yz.maxentdiff","p.xmate.yz.maxent","p.xmate.yz","p.xmate.yy","p.xmate.zz","p.wmate.yz"
"223","eduyears_mean","pulse_earliest",-0.0196236631304414,0.455310397955203,0.107158011434709,-0.0277210072877853,-0.0148595908990778,-0.00476407223136358,0.0051511694337429,0.0042276186131351,0.0051446920918744,0.0052155711551708,0.00280540619037488,0.00557919234402271,0.393160410620228,1.17869108071583e-07,0.000139217151262599,0,2.37093590042692e-96,1.06629636320471e-07
"224","eduyears_mean","pw_peak_to_peak_time_earliest",0.0476242814127045,0.455310397955203,0.0518746228014763,0.0749139915498853,0.0369663246209873,0.0106579567917172,0.005073700403719,0.004157105923933,0.0062132593211827,0.0050563799264248,0.00254857416402527,0.00557398368451762,0.0558646897306382,1.13117454968412e-47,6.20280315736262e-21,0,6.88320144884764e-17,1.15912169126075e-49
"225","eduyears_mean","pw_reflection_index_earliest",-0.0118278413747497,0.455310397955203,0.0349378849129773,-0.0242296814033814,-0.0116876895730354,-0.000140151801714299,0.0048446938548486,0.004335026268429,0.0054503187412552,0.0049582743372492,0.00239422136550499,0.00525719143604217,0.978731663901432,1.05215485373707e-06,0.0146303911540764,0,1.45284840938892e-10,1.0253152756439e-06
"226","eduyears_mean","grip_strength_left_earliest",0.0630945596193063,0.455310397955203,0.0774635940916963,0.0724258053009668,0.0371344954761747,0.0259600641431316,0.0049804910426604,0.0042515420031085,0.005093753739515,0.0048690690305645,0.00255064567848434,0.00528223813368631,8.89659181129675e-07,5.13056307035562e-48,8.85675513530722e-37,0,3.15042285707588e-52,4.81337518277337e-50
"227","eduyears_mean","grip_strength_right_earliest",0.0681110136273674,0.455310397955203,0.0892110990626805,0.0843917215968308,0.0439416995801496,0.0241693140472178,0.0049719430430295,0.0042445290626612,0.0050450899906818,0.0048109656788138,0.00253728050861711,0.00533093777671377,5.79366040486476e-06,3.41585481258192e-67,1.0282787387358e-42,0,5.69426284843374e-70,6.90374598188369e-69
"228","eduyears_mean","waist_circumference_earliest",-0.113109005975796,0.455310397955203,0.245683852916688,-0.121426159883368,-0.0759425195784396,-0.0371664863973564,0.0049245136509509,0.0041298681180592,0.0052310843364102,0.0048679611906724,0.00311240426188428,0.00504138511433483,1.67738312395982e-13,1.71212289444545e-131,9.61370691078521e-117,0,0,2.48412258810365e-137
"229","eduyears_mean","hip_circumference_earliest",-0.0688163570116535,0.455310397955203,0.185135790795178,-0.0600079148837075,-0.0353682305401216,-0.0334481264715319,0.0047724351167624,0.0044688600102074,0.0053060034007851,0.004803975934474,0.0028785310781032,0.00502777253270483,2.87817235077499e-11,1.06509549381399e-34,3.89887756784545e-47,0,9.91394537934945e-267,8.3279345752776e-36
"230","eduyears_mean","standing_height_earliest",0.12569425720306,0.455310397955203,0.22636332650368,0.14478197728734,0.0884192305768598,0.0372750266262002,0.0050440183471946,0.0043263991190665,0.0048084467822662,0.0045968308015017,0.00288861651326891,0.00531400299907225,2.30787453406419e-12,9.13678551881803e-206,4.57750251602418e-137,0,0,9.84094529500211e-218
"231","eduyears_mean","seated_height_earliest",0.0739620527768008,0.455310397955203,0.202875984661039,0.090812038435004,0.0544551453813915,0.0195069073954093,0.0051215633459196,0.0039478491637369,0.0053484036622649,0.0051300980462369,0.00313485297327663,0.00539837395274126,0.000302116594293347,1.37114216883127e-67,2.84410220582941e-47,0,0,4.06020190675783e-70
"232","eduyears_mean","weight_earliest",-0.0762526568312854,0.455310397955203,0.213007980208328,-0.0726777187761251,-0.0441435703857645,-0.0321090864455209,0.0050815544969653,0.0040994652020087,0.0053167788304545,0.0049042835526967,0.00299824704798726,0.00533488849306799,1.75824790605908e-09,4.57987402293382e-49,6.73015651533303e-51,0,0,1.10034294082245e-49
"233","eduyears_mean","bmi_earliest",-0.137925231898271,0.455310397955203,0.243924051117662,-0.142515410552496,-0.0886975300148941,-0.0492277018833769,0.0046607675927829,0.0042405459919342,0.0052102439344987,0.0048971653463379,0.00317974424589914,0.00507820720232341,3.20025273250825e-22,3.10691356242451e-171,1.84879536941092e-192,0,0,3.42508520623111e-186
"234","eduyears_mean","heel_bmd_tscore",-0.0018492810004882,0.455310397955203,0.0294129471126629,0.006824005686862,0.00326401306596981,-0.00511329406645801,0.0051044564068347,0.0042947075167206,0.0056884923975013,0.0050770505809373,0.00242702710476874,0.00549534491109683,0.352123977029906,0.178670264244089,0.717137161603288,0,2.33337345968741e-07,0.1789197457429
"235","eduyears_mean","heel_bmd",0.0023032839649985,0.455310397955203,0.0253478395852535,0.0121408946392739,0.0057685408293766,-0.0034652568643781,0.0050202666696976,0.0042189383021393,0.0056729907802854,0.005030753743462,0.00239283322377871,0.00558010676319109,0.534598377508707,0.0159194258079171,0.646379852341003,0,7.8894695785726e-06,0.0158072784734533
"236","eduyears_mean","heel_qui",0.0017890762562667,0.455310397955203,0.024954609299175,0.0121955058767811,0.00579076660264463,-0.00400169034637793,0.0049355713445413,0.004284328033121,0.0059723453264394,0.0050929672543611,0.00241621985949967,0.00536412255557474,0.455661230265906,0.0165469665770483,0.716988771297669,0,2.93618541266658e-05,0.0166395169195265
"237","eduyears_mean","body_fat_percentage_earliest",-0.136664099530254,0.455310397955203,0.228705566161203,-0.146919253649684,-0.0899181852004529,-0.0467459143298011,0.0047389224280082,0.0042498587204242,0.0048621130935366,0.004969540848612,0.00313193111741125,0.00512896517901995,7.93242988425527e-20,2.85063349358205e-181,7.0332951367979e-183,0,0,4.34619646419359e-192
"238","eduyears_mean","basal_metabolic_rate_earliest",-0.0263264243504601,0.455310397955203,0.177105890243103,-0.0148136147368429,-0.00866830990762419,-0.0176581144428359,0.0049251977097503,0.004338481113741,0.0051256950446372,0.0049647697228907,0.00290435851129178,0.00541531954579934,0.00111109915180148,0.00283961676180431,9.02911995782072e-08,0,1.30456235267718e-261,0.00284742488982505
"239","eduyears_mean","FVC_zscore",-0.053633453779787,0.455310397955203,0.11009896393694,-0.0628661672788058,-0.0337591421303229,-0.0198743116494641,0.0047922663268801,0.0041888452926452,0.0052404850492695,0.005069343498782,0.00276173610778002,0.00538610316542409,0.000224321007096293,2.31742048450561e-34,4.47926900959956e-29,0,5.39148107683778e-98,2.57296735456288e-35
"240","eduyears_mean","FEV1_zscore",-0.062767982143838,0.455310397955203,0.0892803944440311,-0.0811224952507083,-0.042259554435467,-0.020508427708371,0.0051838835403264,0.0042377421218609,0.0049659906740185,0.0051173534307149,0.00269592355393893,0.00548397364018528,0.000184238473562129,2.2298135312673e-55,9.54598003578905e-34,0,2.87854919683717e-72,1.3524484285797e-56
"241","eduyears_mean","PEF_earliest",0.0852162889643214,0.455310397955203,0.0801239139465512,0.120440778900139,0.0615839160902301,0.0236323728740913,0.0050941470379308,0.0042262124725357,0.0049821480586464,0.0046945660273846,0.00248791810935892,0.0053887138014483,1.15703035065283e-05,2.86435947818205e-135,8.15675564773253e-63,0,3.40070412787101e-58,3.68417557863115e-145
"242","eduyears_mean","logMAR_final_left",-0.0831094384487019,0.455310397955203,0.0363924279311349,-0.132360059411844,-0.0631822268828819,-0.01992721156582,0.0048743397258071,0.0042183226764949,0.0064793623524875,0.0052869534609668,0.00267024411705027,0.00528749918530333,0.000164073446720064,8.96797977741996e-124,3.47153873611909e-65,0,1.94674834190834e-08,2.52914352213997e-138
"243","eduyears_mean","logMAR_final_right",-0.0823900932278865,0.455310397955203,0.0384676660742834,-0.124072541543868,-0.0595183615818233,-0.0228717316460632,0.0049595024396858,0.0042882460463429,0.006408843912958,0.0050687856983664,0.00254232897269057,0.00539353286892459,2.22938530566087e-05,3.30508778819054e-121,5.65168046578572e-62,0,1.94567583063111e-09,2.54859306795326e-132
